Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K
1,清华大学,新日暮里,10,917,+1(3),-3,+1(14),+2(271),+1(15),+2(67),+1(31),+1(132),+2(163),+1(91),+1(70)
2,清华大学,鏼鏼发抖,10,1029,+1(4),-3,+1(22),+2(282),+1(12),+1(73),+1(44),+3(231),+1(133),+1(116),+1(52)
3,浙江大学,Reconquista,9,884,+1(11),,+1(25),,+1(9),+1(111),+1(64),+1(292),+1(224),+1(91),+2(37)
4,上海交通大学,夜幕,9,1037,+1(10),-3,+1(26),-1,+2(15),+1(155),+2(80),+4(287),+2(199),+1(43),+1(102)
5,旷视科技,Face++-RetiredClub,9,1236,+1(4),,+1(20),,+1(6),+2(269),+1(51),+8(213),+2(190),+4(102),+2(121)
6,上海交通大学,近王者,8,760,+1(4),,+1(21),,+1(10),+1(158),+2(43),+2(216),,+3(165),+1(63)
7,复旦大学,Wood Cube,8,842,+2(17),,+1(21),-5,+1(5),+1(191),+1(48),,+6(287),+1(66),+1(87)
8,复旦大学,独裁者,8,897,+1(3),,+1(17),,+1(7),+4(291),+2(68),-8,+4(144),+1(135),+1(92)
9,浙江大学,Legilimens,8,1017,+2(37),,+4(62),,+1(10),+1(187),+2(80),,+3(250),+3(125),+2(66)
10,上海交通大学,魔典,8,1091,+1(5),,+5(89),,+1(8),+1(239),+2(30),,+6(264),+2(191),+1(65)
11,北京邮电大学,格雷科技,8,1133,+1(7),,+1(46),,+1(14),,+2(144),+2(285),+1(255),+2(171),+3(111)
12,北京航空航天大学,黑人问号.jpg,7,591,+1(4),,+1(34),,+1(20),,+1(49),-1,+3(155),+1(143),+2(126)
13,南京大学,StayReal,7,663,+1(17),,+1(30),,+1(14),,+3(113),+1(192),-3,+2(148),+1(89)
14,北京师范大学,QQ奶糖,7,674,+1(13),,+1(33),,+1(14),-3,+1(83),,+2(273),+2(169),+1(49)
15,华中科技大学,星云,7,702,+1(4),,+1(34),,+1(12),,+1(121),,+3(218),+1(210),+1(63)
16,中山大学,SYSU_深黑幼想,7,731,+1(21),,+2(63),,+1(12),-3,+2(104),-1,+2(239),+2(123),+3(69)
17,同济大学,码出中国梦,7,825,+1(9),-1,+3(37),-1,+2(39),-1,+2(90),-5,+3(273),+1(175),+1(82)
18,广东工业大学,无尽挑战,7,841,+1(8),,+3(50),,+1(20),,+1(62),,+4(287),+1(173),+1(141)
19,北京大学,Miracle,7,992,+1(4),,+1(13),,+1(15),,+2(174),+1(280),-1,+5(194),+4(152)
20,华中师范大学,暴力打牌,7,1023,+1(31),,+1(46),,+1(23),+4(299),+3(173),,,+1(148),+1(203)
21,南京航空航天大学,文蛤包包,7,1388,+1(14),,+5(55),,+2(23),+3(175),+5(96),,,+21(287),+1(118)
22,杭州电子科技大学,HDU_AcmKeHaoWanLe,6,295,+1(9),,+2(24),,+1(8),,+1(40),,,+1(134),+1(60)
23,哈尔滨工业大学,为什么您这么强,6,375,+1(4),,+2(28),-4,+1(10),,+2(68),-1,,+1(114),+2(91)
24,南京大学,我，青玉德，吃鸡！,6,383,+1(23),,+1(36),,+1(11),-14,+1(82),,,+2(146),+1(65)
25,浙江大学城市学院,FD_CLUB,6,388,+1(6),,+1(61),,+1(13),,+1(85),,-1,+2(132),+2(51)
26,东北大学,淘汰之刃,6,424,+1(15),,+1(48),,+1(7),,+1(75),,,+1(171),+1(108)
27,中山大学,中山大学_自动钢琴,6,439,+1(12),,+1(35),,+1(15),,+3(130),,,+1(146),+1(61)
28,重庆大学,人工智能我队友,6,465,+1(14),,+2(48),,+1(4),-4,+3(127),,,+1(173),+1(39)
29,电子科技大学,UESTC_星幻,6,468,+1(11),,+1(23),,+2(30),,+2(114),-3,-2,+1(149),+2(81)
30,天津大学,Tju_WannaCry,6,496,+1(10),,+1(29),,+1(14),,+3(146),,,+1(186),+1(71)
31,大连理工大学,一步之遥,6,562,+1(4),,+1(21),,+1(14),,+3(153),,,+2(199),+1(111)
32,西安交通大学,说学逗唱,6,570,+1(18),,+3(49),,+1(9),,+3(108),,-9,+1(168),+3(98)
33,武汉大学,丝滑拿铁,6,578,+1(8),,+2(42),,+1(14),,+4(123),,-1,+1(177),+1(134)
34,北京交通大学,终末之冬,6,592,+1(5),,+3(41),,+2(22),-2,+2(147),,,+2(182),+2(75)
35,中国科学院大学,天才调试少年,6,613,+1(7),,+1(50),,+1(22),,-2,+1(120),,+1(280),+1(134)
