Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,上海交通大学,不朽之夜,9,1167,Gold,刘尔之,孙司宇,孟良谕,N,N
2,清华大学,三演一鸽,9,1175,Gold,杨天祺,范致远,吴作同,N,N
3,北京大学,德先生,8,899,Gold,任轩笛,陆宇暄,陈嘉乐,N,N
4,南京大学,Calabash!,8,932,Gold,陈劭源,王淳扬,王冬杨,N,N
5,北京大学,你能卡掉我我当场把屏幕吃掉,8,1296,Gold,邓朝萌,杜振宇,杨明炜,N,N
6,复旦大学,上海爱丽丝幻乐团,7,464,Gold,高铭鸿,温昕岳,吴明健,N,N
7,北京大学,爆蛋队,7,666,Gold,孙耀峰,马龙,陈齐治,N,N
8,北京航空航天大学,咕咕鸽,7,676,Gold,伍俊洁,钟梓皓,邓一兴,N,N
9,东南大学,艾斯易悠-都行,7,823,Gold,陈启航,韩数,陈曦,N,N
10,金日成综合大学,RNS2019,7,835,Gold,金松副,全金星,崔银星,N,N
11,中山大学,中山大学_职业鸽手,7,862,Gold,王程钥,徐达烽,谢立辉,N,N
12,清华大学,万古江河,7,865,Gold,刘承奥,和嘉晅,王之栋,N,N
13,中山大学,中山大学_午餐不见了,7,894,Gold,傅畅,刘瀚之,黄途亮,N,N
14,北京交通大学,大脑喷射,7,910,Gold,金睿琦,胡雨轩,蔡伟斌,N,N
15,重庆大学,这题不是随便搞吗,7,1006,Gold,张博虓,徐茂凯,汪啸宇,N,N
16,清华大学,巨大橡树多阿克,6,293,Gold,何中天,王思齐,袁方舟,N,N
17,电子科技大学,UESTC_香咕炖鸽,6,354,Gold,熊子良,雷金坪,金琪铠,N,N
18,复旦大学,喵喵流,6,545,Gold,薛振梁,孙亮亮,刘明君,N,N
19,西安交通大学,没有就空着吧,6,594,Gold,齐智,陈子谦,唐宇轩,N,N
20,同济大学,荠蒻,6,609,Gold,欧阳小伟,刘毅韬,赵屹雄,N,N
21,浙江大学,Wheatfield with Crows,6,617,Gold,邓浩然,陈昱文,林思仪,N,N
22,北京邮电大学,零叉八C,6,629,Gold,孙明志,林麒,梁昊骞,N,N
23,中山大学,中山大学_苍蓝星,6,672,Gold,叶荣臻,刘佳荣,任飞宇,N,N
24,华中科技大学,黑色切鸽者,6,681,Gold,王宇轩,罗宇兵,鲁清新,N,N
25,北京航空航天大学,你好，世界,6,712,Gold,王嘉翼,赵立晨,杨开元,N,N
26,南方科技大学,南方科技大学_zzz,6,727,Gold,姚寅喆,张文灏,朱泓霖,N,N
27,苏州大学,键盘冒奶,6,748,Gold,王浩,李天镜,诸葛子英,N,N
28,哈尔滨工业大学,已然遥远的理想之城,6,784,Gold,陈海峰,曹舒淇,林琦慧,N,N
29,广东工业大学,最大瘤,6,791,Gold,郑重,康泽楠,陈震东,N,N
30,华中科技大学,春田花花幼稚园,6,805,Gold,樊炯言,谢锦瑶,陈梦雷,N,N
31,香港大学,GMT+8,6,850,Silver,董滨瑞,李俊諺,郭健曦,N,N
32,南京航空航天大学,起风了,6,900,Silver,沈凌翔,蒲亮兮,吴家庆,N,N
33,朝鲜理科大学,Redstar,6,915,Silver,金胜进,金光星,金男,N,N
34,西安电子科技大学,睡梦罗汉拳,6,939,Silver,代玉泉,柴东辰,李弘政,N,N
35,山东大学,唯我心,6,1027,Silver,黄敏聪,魏秀颖,熊理达,N,N
36,青岛大学,AC主旋律,6,1047,Silver,赵心治,左一兵,王俊皓,N,N
37,华南理工大学,我亲爱的大佬请带带我,6,1256,Silver,章子寅,郑冰升,黎伟煊,N,N
38,哈尔滨工程大学,撒网摸鱼,6,1271,Silver,赵子琦,李健楠,赵熠扬,N,N
39,朝鲜理科大学,SCLI,5,324,Silver,洪先雄,高贤旭,鱼日辉,N,N
40,上海交通大学,黑暗封印,5,446,Silver,谭博仁,杨宗翰,任一凡,N,N
41,武汉科技大学,就这么喜欢写代码吗？你这个小秃头,5,474,Silver,孟钦宇,余凌紫,张嘉豪,N,N
42,浙江理工大学,围着火炉吃西瓜,5,521,Silver,王金辉,徐鑫彪,林苗镔,N,N
43,哈尔滨工业大学（威海）,Keyb0ardInterrupt,5,555,Silver,陈靖昌,唐泓煊,吴家铭,N,N
44,哈尔滨工业大学,伏尔甘,5,573,Silver,章金凯,鲍克勤,于金鹭,N,N
45,浙江大学,除你武器,5,578,Silver,章可循,杨沛霖,余奥洋,N,N
46,山东科技大学,发现号,5,580,Silver,梁天心,上官祥正,邱鹏,N,N
47,武汉大学,珞珈山老演员,5,587,Silver,陈欣予,陶怡平,唐凯亮,N,N
48,浙江大学,蓝泥湾,5,590,Silver,付冰洋,王宣煊,张龙姣,N,N
49,北京航空航天大学,无限大の梦,5,601,Silver,沈中海,林昱同,张凯杰,N,N
50,国防科技大学,听党指挥,5,607,Silver,邱昊中,宋澎玉,方家琦,N,N
51,湖南大学,UFO,5,615,Silver,欧阳建鸿,胡昊,张君逸,N,N
52,华南理工大学,SCUT_Ultimate_team382,5,618,Silver,魏承东,黄仕嘉,林仕居,N,N
53,浙江师范大学,本次颁奖典礼到此结束，请所有队伍从后门离开，谢谢,5,619,Silver,陈卓丞,余凡,余慧,N,N
54,中国地质大学（武汉）,胜天半子,5,667,Silver,尹港,汪圣翔,周伟国,N,N
55,四川大学,命有几回合，擂台等着,5,676,Silver,任子尧,曾祥瑞,魏子豪,N,N
56,电子科技大学,UESTC_傻哭了,5,687,Silver,刘宸睿,陈天乐,刘昕,N,N
57,南京邮电大学,拯救世界,5,693,Silver,李尧羿,张佑杰,张正昊,N,N
58,中国科学院大学,骑士与龙,5,720,Silver,李龙成,楼持恒,杨泽超,N,N
59,江南大学,第1226564个质数,5,720,Silver,许轲,卢涵,陈朝潮,N,N
60,烟台大学,伊丽莎白,5,724,Silver,崔朝健,赵俊杰,肖毅欣,N,N
61,北京理工大学,摸鱼肥宅,5,727,Silver,李天翔,易翔宇,程文浩,N,N
62,北京邮电大学,颓废时光,5,784,Silver,马玉龙,王晓晖,刘天睿,N,Y
63,华南理工大学,小南瓜,5,784,Silver,孙宇鹏,王络,姚焜茗,N,N
64,温州大学,阿尔法队,5,792,Silver,钟庭彪,李克炼,孙铤超,N,N
65,天津大学,背着队友偷偷WA,5,956,Silver,范一隆,李睿智,施浩森,N,N
66,西安交通大学,毕业自动机,5,1007,Silver,朱泽荧,降伟鹏,茅添成,N,N
67,浙江财经大学,极光,5,1009,Silver,丁一凡,周人豪,徐俊楠,N,N
68,福州大学,小熊硬糖,5,1044,Silver,蔡鸿毅,黄海东,梁洁琳,N,N
69,南京大学,鸽子的自我修养,5,1091,Silver,陈弘毅,倪锦涵,史丰萁,N,N
70,山东大学,请勿盲目自救,4,390,Silver,刘建东,杨家齐,周金鹏,N,N
71,厦门大学,多吃菜,4,410,Silver,赵佳驰,张浩然,张添翼,N,N
72,华南农业大学,紫罗兰的永恒羊圈,4,427,Silver,孙聪,肖文洋,罗平镔,N,N
73,合肥学院,我带你们打,4,430,Silver,闵德海,徐永强,方元中,N,N
74,哈尔滨工业大学,两颗西柚,4,434,Silver,鲁国山,喻思成,王之品,N,N
75,华东师范大学,沙发里的沙发,4,445,Silver,吕熠强,李思,陶传贵,N,N
76,华东理工大学,该想队名了,4,457,Silver,李震,支一衡,顾语涵,N,N
77,武汉大学,出来对线,4,468,Silver,郭宇梁,蒋梦旭,岑洋,N,N
78,大连理工大学,顶瓜瓜,4,498,Silver,傅心语,林俊贤,罗焯,N,N
79,福州大学,塔斯丁苟,4,501,Silver,罗继鸿,陈华能,郑学贵,N,N
80,中南大学,我觉得巨对,4,504,Silver,张甫成,叶惠生,吴止境,N,N
81,山东大学,棉花糖,4,508,Silver,闫立峰,佟彦泽,甘安霆,N,N
82,中国人民大学,这个名字并不好玩,4,529,Silver,唐天一,刘炯楠,于倬浩,N,N
83,北京交通大学,纯正九莲宝灯,4,534,Silver,骆艺元,郑栩僮,栗明磊,N,N
84,四川大学,萌鸽,4,558,Silver,夏文羿,申城铭,卢鹏程,N,N
85,武汉大学,最好的队名就是没有队名,4,572,Silver,朱少本,谢宇轩,马铭昊,N,N
86,上海科技大学,——正规算法交流群，无内鬼。——那，开始念了哦，勿外传。——男人要保持距离。,4,577,Silver,张龙文,逄白,刘梓萱,N,N
87,杭州电子科技大学,轮到我了,4,595,Silver,崔倍宁,刘智杰,汤丰瑜,N,N
88,哈尔滨工业大学（威海）,蓝莓蛋挞,4,631,Silver,宋维晓,陈乔晟,储成伟,N,N
89,重庆邮电大学,菜的魔力转圈圈,4,639,Silver,秦锐锋,陈路遥,秦锐锋,N,N
90,北京邮电大学,鸿蒙,4,652,Silver,刘涛,谭海川,段锦宇,N,N
91,安阳工学院,newgate txdy,4,656,Bronze,韩韦凡,张丁韦,杨雅静,N,N
92,西安电子科技大学,qko国际后援团,4,665,Bronze,简林圳,陈宇松,万天纬,N,N
93,南阳理工学院,.....((/- -)/,4,670,Bronze,伍钲演,董承昊,劳国平,N,N
94,长春理工大学,比速度,4,702,Bronze,李泽鹏,陈昶文,孟令书,N,N
95,浙江大学宁波理工学院,自由探戈,4,703,Bronze,潘肖磊,汪昊泽,张斌,N,N
96,东南大学,算法想不队,4,714,Bronze,唐煜昊,李怀谷,张昆博,N,Y
97,东北林业大学,分头寻找较为复杂,4,725,Bronze,方震,冯天祥,张嘉文,N,N
98,杭州电子科技大学,三文鱼,4,757,Bronze,施毅恒,万仞峰,杨子江,N,N
99,电子科技大学,UESTC_题意挂了,4,776,Bronze,胡佳金,马旭栋,陈菲菲,N,N
100,哈尔滨工程大学,可持久化金清树,4,786,Bronze,张凌源,连金清,孙雅涵,N,N
101,杭州电子科技大学,命名鬼才,4,808,Bronze,吉兴龙,叶钊辰,白旭东,N,N
102,华东理工大学,这不是bzoj原题吗,4,831,Bronze,付成瑜,彭博,傅志凌,N,N
103,北京师范大学-香港浸会大学联合国际学院,气气球一块钱四个,4,845,Bronze,徐子木,龙跃鹏,邓凯文,N,N
104,山东理工大学,或许有一度春风不负微草枯荣,4,852,Bronze,贾辉,郑延亮,李绪伟,N,N
105,绍兴文理学院元培学院,给我个铜好不好？,4,925,Bronze,陈军,袁杰,张云,N,N
106,北京理工大学,几何问题的数论结构,4,983,Bronze,谢威宇,杨思远,孙璋亮,N,N
107,中国人民大学,接龙红包下一个拼音：yi,3,153,Bronze,李林豇,农钧翔,王成瑞,N,N
108,江苏科技大学,又忘记初始化了,3,215,Bronze,袁耀,夏易辰,吴宇胥,N,N
109,西南交通大学,黑要,3,270,Bronze,杨江川,霍雨佳,杨金龙,N,N
110,南开大学,贝塔猫,3,298,Bronze,翟江天,邓梓焌,吴佰谦,N,N
111,哈尔滨工程大学,马上就要把楼上超过了,3,311,Bronze,方福鑫,王凯,许明杰,N,N
112,哈尔滨工程大学,咆哮的土拨鼠,3,318,Bronze,武朝晖,韩尚君,鲍志伟,N,N
113,浙江工业大学,涅槃,3,330,Bronze,蔡鑫伟,李泽昊,项健翔,N,N
114,广东外语外贸大学,逆熵,3,349,Bronze,井睿明,汪鹏飞,曹岩奇,N,N
115,山东理工大学,我们不会数论,3,379,Bronze,李赛龙,贾国良,郭训江,N,Y
116,河南理工大学,没有对象的野指针,3,410,Bronze,王建芳,张乔然,郭永航,,
117,华中师范大学,兄弟买挂不,3,416,Bronze,张宇峰,曾僖,刘静,,
118,暨南大学,我不要你AC我要我AC,3,427,Bronze,丘岳威,张凌达,何家昊,,
119,香港大学,No Response,3,444,Bronze,谢豪,胡振为,陈东宁,,
120,东北师范大学,墨染樱花,3,445,Bronze,黄星朔,邓鹏辉,万锴迪,,
121,东北大学,辉耀,3,445,Bronze,印飞,陈子健,蒋宇欣,,
122,重庆大学,三个想黄人,3,449,Bronze,陈泱宇,张义,王志伟,,
123,广东工业大学,暴力仙女,3,463,Bronze,黄智毅,颜嘉文,吴泽金,,
124,中国科学技术大学,闷声发大时,3,466,Bronze,李书亮,林焕承,邹广翼,,
125,浙江师范大学,我们是警察我们不会怕,3,468,Bronze,张忆莲,杨浩,郑略,,
126,哈尔滨工业大学（深圳）,菜鸡联盟,3,472,Bronze,刘颂唐,陈迅,杨博康,,
127,南京林业大学,我们的队伍像太阳,3,472,Bronze,郭恒康,吉嘉铭,李明止,,
128,燕山大学,积极向上的名字,3,490,Bronze,戴昊,陈一铭,李曲铭,,
129,山东农业大学,追光者,3,509,Bronze,冯硕,王俊杰,蔡东晓,,
130,中国矿业大学,这是有智慧的人爱喝的饮料,3,521,Bronze,迟文浩,周昀淳,吴继源,,
131,南京理工大学,这次想好叫啥名,3,552,Bronze,何家奇,何政禹,李佳胜,,
132,西安交通大学,真签完到就金啊都,3,556,Bronze,张子杰,廖原,蒋宇,,
133,湖南文理学院,AC自动机fail树上dfs序建可持久化线段树,3,564,Bronze,唐京,吴宇斌,谭杨盈,,
134,浙江万里学院,昆特牌提琴烤蛋挞苏打马拉松,3,565,Bronze,赖彬鑫,陈斌格,李妍薇,,
135,河南大学,菜鸡三人行,3,586,Bronze,李晓龙,吴翔宇,陈又铜,,
136,湖南理工学院,队长是ig粉因为rng输了,3,589,Bronze,赵磊,彭浜,王润虎,,
137,浙江师范大学,好事花生,3,613,Bronze,钮家玺,顾泽宇,余烨凯,,
138,西北工业大学,取完队名就去补作业,3,634,Bronze,冯都欣,程世龙,罗宏凯,,
139,鲁东大学,星星之火,3,636,Bronze,朱振杨,吴胜营,刘明宸,,
140,长安大学,随机星,3,675,Bronze,韩耀东,王瑀治,李蔚青,,
141,山东财经大学,下岗职业再就业,3,703,Bronze,刘晓康,冯嘉俊,徐天梦,,
142,中国矿业大学（北京）,京矿大队,3,771,Bronze,欧阳俊一,金坤,樊汶林,,
