Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,清华大学,三个顶俩,11,1238,Gold,朱震霆,闫书弈,王修涵,N,N
2,清华大学,查查查乐乐,9,1282,Gold,邹逍遥,金策,吴作凡,N,N
3,浙江大学,Runespoor,9,1295,Gold,李彦奎,张清棋,吕耀维,N,N
4,清华大学,吃西瓜三人组,8,661,Gold,钟知闲,高睿泉,徐海珂,N,N
5,中山大学,中山大学_昙花,8,906,Gold,林一诺,李洋,黄镇,N,N
6,北京航空航天大学,咕咕鸽,8,1097,Gold,伍俊洁,钟梓皓,邓一兴,N,N
7,北京大学,叠猫猫,8,1302,Gold,周笑鸥,翁伊嘉,邓茵琳,N,N
8,复旦大学,小小青蛙不输风雨,7,826,Gold,高庆麾,耿明睿,裘家浩,N,N
9,浙江大学,Wheatfield with Crows,7,899,Gold,邓浩然,陈昱文,林思仪,N,N
10,杭州电子科技大学,五点共圆,7,958,Gold,顾奕臻,祝之禺,陈惇显,N,N
11,浙江大学,Peccadet,7,978,Gold,孙典圣,李昌栋,卢旻昊,N,N
12,浙江大学,除你武器,7,1062,Gold,章可循,杨沛霖,余奥洋,N,N
13,浙江理工大学,钻石羊,7,1191,Gold,林航宇,杨昊泽,罗晨宇,N,N
14,北京大学,会想会码不会调,7,1229,Gold,祝天然,杨帆,毛一琛,N,N
15,华东师范大学,acm.ecnu.edu.cn:1001,7,1262,Gold,张羽戈,林方欣,周亦然,N,N
16,南京大学,Calabash!,6,762,Gold,陈劭源,王淳扬,王冬杨,N,N
17,北京理工大学,森の妖精,6,775,Gold,龙水彬,沈云汉,周赫斌,N,N
18,北京大学,AK Team,6,777,Gold,孙耀峰,马龙,陈齐治,N,N
19,电子科技大学,UESTC_POP,6,781,Gold,欧阳韬,潘训涛,彭俊强,N,N
20,烟台大学,伊丽莎白,6,807,Gold,李超,肖毅欣,徐心雨,N,N
21,哈尔滨工业大学,伏尔甘,6,818,Gold,章金凯,鲍克勤,于金鹭,N,N
22,中国人民大学,口古合鸟,6,840,Gold,罗碚,刘书玮,陈志朋,N,N
23,中国人民大学,我舅知道！,6,853,Gold,杨铭基,丁海鹏,徐炜,N,N
24,重庆大学,这题不是随便搞吗,6,866,Gold,张博唬,徐茂凯,汪啸宇,N,N
25,华中科技大学,黑色切鸽者,6,873,Gold,罗宇兵,王宇轩,鲁清新,N,N
26,中南大学,我们去南京吃什么？,6,1027,Gold,刘佳妮,罗泰帅,罗龙光,N,N
27,北京航空航天大学,打不赢电脑,6,1054,Gold,彭毛小民,廖纪童,姜圣虎,N,N
28,华南理工大学,SCUT_星辰闪耀,6,1287,Gold,郑炜城,王一帆,潘伟健,N,N
29,南京理工大学,跃迁引擎,5,486,Gold,马靖豪,王兵,颜俊梁,N,N
30,福州大学,大熊软糖,5,499,Gold,吴媛媛,傅滨,李进,N,N
31,西南交通大学,白给,5,510,Silver,蒋欣洋,许沂聪,康梦瑶,N,N
32,安徽大学,墙角猫,5,512,Silver,陈昱翔,汪敏瑞,王唯臣,N,N
33,南方科技大学,南方科技大学_追猪者,5,513,Silver,姚寅喆,张文灏,朱泓霖,N,N
34,四川大学,Dreamer,5,545,Silver,任子尧,曾祥瑞,魏子豪,N,N
35,北京理工大学,几何的数论结构,5,565,Silver,谢威宇,孙璋亮,杨思远,N,N
36,东南大学,咸水小黄鸭,5,576,Silver,殷开颜,范之闽,郑祎凡,N,N
37,中山大学,中山大学_命运的青鸟,5,645,Silver,陈泰霖,邝启鹏,邓明昱,N,N
38,北京理工大学,社会佩奇,5,656,Silver,何金岷,马泽航,周琪森,N,N
39,北京交通大学,按F键进入榜一,5,661,Silver,吴泽航,赵思达,孙庆岩,N,N
40,杭州师范大学,TI1050,5,684,Silver,薛鸿涛,潘律旨,罗天松,N,N
41,武汉大学,未命名,5,701,Silver,蒋梦旭,岑洋,郭宇梁,N,N
42,北京交通大学,纯正九莲宝灯,5,701,Silver,骆艺元,栗明磊,郑栩僮,N,N
43,哈尔滨工业大学,我们都有光明的前途,5,713,Silver,孔佑康,邓俊辰,董希尧,N,N
44,哈尔滨工业大学,已然遥远的理想之城,5,718,Silver,陈海峰,曹舒淇,林琦慧,N,N
45,浙江大学宁波理工学院,宁静致远,5,718,Silver,曹弘逸,林鑫淼,张逸凡,N,N
46,大连理工大学,QinggeX,5,726,Silver,张航,杨飞,高凯,N,N
47,浙江工业大学,ZJUT7,5,729,Silver,徐远洋,钱滔,程淦,N,N
48,北京邮电大学,起风了,5,758,Silver,金浩男,张逸群,路已人,N,N
49,华南农业大学,大三索,5,780,Silver,张宏海,黄柏贵,何展宁,N,N
50,北京大学,壹一壹丨,5,792,Silver,徐瑞帆,聂恺辰,李佳实,N,N
51,华南农业大学,紫罗兰的永恒羊圈,5,796,Silver,孙聪,罗平镔,肖文洋,N,N
52,南京大学,No Response,5,798,Silver,宋子辰,王予曦,张天陵,N,N
53,武汉大学,无向秃,5,816,Silver,向征,谭雨奇,吴轲,N,N
54,华中科技大学,对未知用战斗演算,5,827,Silver,王际豪,程思哲,师天硕,N,N
55,上海大学,魔菜队,5,831,Silver,罗哲焱,董昱,林世铨,N,N
56,北京邮电大学,开局一套板，AC全靠蒙,5,882,Silver,向阳曦,陈瑞龙,凌晨,N,N
57,东北大学,再过一题,5,891,Silver,李柏雨,陈嘉尊,管胡昊,N,N
58,山东科技大学,发现号,5,957,Silver,梁天心,上官祥正,邱鹏,N,N
59,南京大学,题都做不,5,1028,Silver,姚嘉和,林荣恩,张浩宇,N,N
60,天津大学,背着队友偷偷WA,4,230,Silver,范一隆,王艺达,施浩森,N,N
61,同济大学,荠鸽,4,268,Silver,叶茂尧,黄颖,李昊龙,N,N
62,浙江大学城市学院,拿了金牌就去吃鸡,4,286,Silver,陶汀,孙华阳,庄博伟,N,Y
63,中国石油大学（华东）,玖玖捌贰肆肆叁伍叁,4,293,Silver,王婷婷,丁晨晨,马浩睿,N,N
64,复旦大学,复读复读复读,4,301,Silver,刘嘉辰,陆佳艺,孙若诗,N,N
65,浙江师范大学,梅溪湖女孩说队名一定要长那就这么长吧,4,314,Silver,刘浩,凌静,余知航,N,N
66,东北师范大学,ComWin,4,385,Silver,赵梦宇,陈瑜,梁怡萍,N,N
67,哈尔滨理工大学,哈理工2019秋01,4,410,Silver,陈鑫,顾佳昊,于博文,N,N
68,中国地质大学（武汉）,期望最大化,4,412,Silver,刘仁瑞,高志锐,董兴旺,N,N
69,南京信息工程大学,来稳的,4,432,Silver,唐俊,曹越,胡先念,N,N
70,中国传媒大学,可有鱼丸粗面,4,435,Silver,夏业伟,邓楚盟,曹可意,N,N
71,厦门大学,趁热,4,458,Silver,李远航,洪佩怡,王炳森,N,N
72,宁波工程学院,下一队,4,460,Silver,田振楠,王云浩,陈凯涛,N,N
73,福州大学,憨批熊,4,461,Silver,林闽沪,吴少冰,陈金杰,N,N
74,北京邮电大学,颓废时光,4,463,Silver,马玉龙,王晓晖,刘天睿,N,N
75,上海大学,真难队,4,466,Silver,施焱,周晓凡,邱凯,N,N
76,华中师范大学,队友让我AC，我只能当灯泡,4,473,Silver,朱有为,刘亭玉,刘一泓,N,N
77,南京邮电大学,拯救世界,4,478,Silver,李尧羿,张佑杰,张正昊,N,N
78,东北大学秦皇岛分校,NEUQ-Thursday,4,481,Silver,孙意,黄鑫源,董明宇,N,N
79,北京邮电大学,假面骑士,4,486,Silver,黄岳嘉,杨铁智,郑铎,N,N
80,中国石油大学（华东）,先定一个小目标,4,489,Silver,刘志伟,赵睿顶,张森,N,N
81,杭州电子科技大学,灵车一动,4,490,Silver,刘靖凯,蒋天翼,彭志远,N,N
82,湖南大学,玩火,4,495,Silver,王文斌,戴翠妮,陈杰,N,N
83,西南民族大学,快乐,4,499,Silver,黄杰,张世琛,张添玮,N,N
84,四川大学,空白,4,515,Silver,伍斯思,游宇杰,张雷,N,N
85,东南大学,一百柠檬,4,517,Silver,周畅,吴夏,朱嘉良,N,N
86,华东师范大学,这是我的最强一击了,4,518,Silver,陈宇琪,邵煜,王朝扬,N,N
87,电子科技大学,UESTC_LoveMaster,4,521,Silver,程曦,颜禹焓,王潇,N,N
88,郑州大学,菜到退役,4,527,Silver,张兴言,周德蔚,刘馨雨,N,N
89,福建工程学院,队名,4,527,Silver,蔡宇航,陈盛迪,连琦枫,N,N
90,福州大学,？？？,4,529,Silver,鲍子涵,吴宜航,郑晨阳,N,N
