Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,南京大学,咖啡鸡,9,1079,Gold,凌浩,刘弘洋,张扬播,N,N
2,浙江大学,Runespoor,9,1359,Gold,李彦奎,吕耀维,张清棋,N,N
3,清华大学,火车冲冲冲,9,1437,Gold,陈江伦,毛嘉怡,武弘勋,N,N
4,清华大学,飞毛腿,8,1042,Gold,高嘉煊,梁晏成,吴思扬,N,N
5,中山大学,中山大学_昙花,8,1047,Gold,黄镇,李洋,林一诺,N,N
6,复旦大学,北原雪菜,8,1489,Gold,高铭鸿,温昕岳,吴明健,N,N
7,清华大学,虾滑棒棒糖,8,1492,Gold,何昊天,于纪平,张瑞喆,N,N
8,杭州电子科技大学,五点共圆,7,868,Gold,陈惇显,顾奕臻,祝之禺,N,N
9,郑州大学,队友倒写强连通,7,942,Gold,陈洋,黄中源,苏同,N,N
10,中国人民大学,我舅知道！,7,988,Gold,丁海鹏,徐炜,杨铭基,N,N
11,北京大学,你能卡掉我我当场把屏幕吃掉,7,1088,Gold,邓朝萌,杜振宇,杨明炜,N,N
12,浙江大学,Peccadet,7,1221,Gold,李昌栋,卢旻昊,孙典圣,N,N
13,北京交通大学,大脑喷射,6,549,Gold,蔡伟斌,胡雨轩,金睿琦,N,N
14,中南大学,我们去南昌吃什么,6,662,Gold,刘佳妮,罗龙光,罗泰帅,N,N
15,华南理工大学,SCUT_星辰闪耀,6,682,Gold,潘伟健,王一帆,郑炜城,N,N
16,安徽大学,???,6,738,Gold,陈昱翔,汪敏瑞,王唯臣,N,N
17,北京大学,壹一壹丨,6,931,Gold,李佳实,聂恺辰,徐瑞帆,N,N
18,北京大学,deceiver,6,950,Gold,陈俊恺,孔朝哲,魏罗健,N,N
19,西安电子科技大学,几何旋律,6,1070,Gold,黄海同,汪浚逸,王晓庆,N,N
20,西安交通大学,渡渡鸟幼儿园,5,295,Gold,王之坤,杨栋,陈业元,N,N
21,南京大学,Pigeon Racing Cancelled,5,315,Gold,单启程,李子扬,张浩南,N,N
22,郑州大学,菜到退役,5,400,Gold,宋沂轩,张兴言,周德蔚,N,N
23,华东师范大学,这是我的最强一击,5,401,Gold,陈宇琪,邵煜,王朝扬,N,N
24,同济大学,荠鸽,5,425,Gold,黄颖 ,李昊龙,叶茂尧,N,N
25,北京航空航天大学,你好，世界,5,443,Gold,王嘉翼,杨开元,赵立晨,N,N
26,浙江财经大学,The Ray,5,469,Gold,吕效华,徐心如,周崇凯,N,N
27,上海交通大学,永恒之蓝,5,476,Gold,衡阳,李至丹,史添能,N,N
28,杭州师范大学,TI1050,5,504,Gold,罗天松,潘律旨,薛鸿涛,N,N
29,四川大学,Thunder AC,5,515,Gold,曾梓云,雷舜,唐逸伦,N,N
30,电子科技大学,UESTC_LoveMaster,5,516,Gold,程曦,王潇,颜禹焓,N,N
31,东南大学,可持久化最小鸽,5,520,Gold,刘朗麒,冉雨杭,肖炯辰,N,N
32,华中师范大学,君问AC未有C,5,534,Gold,葛沛鑫,唐文韬,张奕青,N,N
33,南京邮电大学,三相之力,5,557,Gold,柏广凡,陈锐,刁煜凡,N,N
34,浙江理工大学,钻石羊,5,563,Gold,林航宇,罗晨宇,杨昊泽,N,N
35,浙江师范大学,梅溪湖女孩说队名一定要长那就这么长吧,5,574,Silver,凌静,刘浩,余知航,N,N
36,浙江师范大学,村里最好的键盘,5,591,Silver,黄正结,苏丁力,万昱君,N,N
37,东北大学,则式长号,5,592,Silver,李泽仁,邱而沐,武嘉鑫,N,N
38,安徽大学,墙角猫,5,595,Silver,陈昱翔,汪敏瑞,王唯臣,N,N
39,电子科技大学,UESTC_POP,5,595,Silver,欧阳韬,潘训涛,彭俊强,N,N
40,中山大学,SYSU_苍蓝星,5,605,Silver,刘佳荣,任飞宇,叶荣臻,N,N
41,东北农业大学,七喜炖螃蟹,5,615,Silver,李润泽,孙洪嘉,王钰涵,N,N
42,哈尔滨工业大学（深圳）,吃啥都不加香菜,5,620,Silver,毛志东,彭博濠,亚梦溪,N,N
43,浙江工业大学,眼大鸟2,5,621,Silver,江一鸣,王孜杰,温圳,N,N
44,南开大学,范德蒙德行列式,5,634,Silver,欧阳文豪,史浩森,诸佳昕,N,N
45,重庆大学,银川偷到鸡了吗兄弟,5,639,Silver,符敦政,杨崇钰,郑钰心,N,N
46,北京邮电大学,零叉八C,5,648,Silver,梁昊骞,林麒,孙明志,N,N
47,北京邮电大学,常数抛光机,5,654,Silver,陈程,范珈诚,柳畅,N,N
48,长春理工大学,比速度,5,655,Silver,陈昶文,李泽鹏,孟令书,N,N
49,浙江财经大学,Starlight2,5,661,Silver,柴奕,李欣阳,周人豪,N,N
50,湘潭大学,我太南了,5,686,Silver,代卓岑,屈京,杨舒文,N,N
51,浙江大学城市学院,拿了金牌就去吃鸡,5,692,Silver,孙华阳,陶汀,庄博伟,N,N
52,山东大学,唯我心,5,697,Silver,黄敏聪,马旭阳,魏秀颖,N,N
53,北京航空航天大学,无限大の梦,5,743,Silver,林昱同,沈中海,张凯杰,N,N
54,浙江工业大学,刃鸣近月，千恋万花,5,745,Silver,吴泽成,杨俊尧,周阳,N,N
55,北京理工大学,I题是个签到题,5,754,Silver,徐子懋,张庚辰,周弈帆,N,N
56,浙江工商大学,肥宅真的好快乐,5,784,Silver,缪佩翰,沈彤,王龙,N,N
57,西安交通大学,毕业自动机,5,785,Silver,降伟鹏,茅添成,朱泽荧,N,N
58,徐州工程学院,徐工一队,5,792,Silver,陈宇杰,潘锦程,杨镇,N,N
59,北京理工大学,森の妖精,5,847,Silver,龙水彬,沈云汉,周赫斌,N,N
60,武汉工程大学,江湖夜雨十年WA,5,848,Silver,刘一麟,刘子涵,张超熠,N,N
61,东北师范大学,墨染樱花,5,874,Silver,邓鹏辉,黄星朔,万锴迪,N,N
62,哈尔滨工业大学,我们都有光明的前途,5,882,Silver,邓俊辰,董希尧,孔佑康,N,Y
63,河海大学,朴实无华且枯燥,5,914,Silver,罗旭江,汤明杰,王克,N,N
64,福建师范大学,中二少年,5,1154,Silver,黄嘉琦,黄银,林炜,N,N
65,西北大学,carry NE,4,184,Silver,李萱,刘宇豪,熊亚锟,N,N
66,大连理工大学,TToughy,4,238,Silver,归宇通,胡小涛,衣泽民,N,N
67,香港理工大学,香港理工一队,4,266,Silver,孙保航,徐颖,严灏哲,N,N
68,中山大学,SYSU_南极石,4,272,Silver,谭嘉伟,王润锋,张展邦,N,N
69,北京航空航天大学,打不赢电脑,4,275,Silver,姜圣虎,廖纪童,彭毛小民,N,N
70,中南林业科技大学,邪恶键盘人,4,279,Silver,李定,邱建立,任芳,N,N
71,哈尔滨工业大学（深圳）,平山村男子职业幼儿园,4,287,Silver,邱建盛,吴俊达,张致远,N,N
72,浙江财经大学,Twilight,4,296,Silver,丁一凡,徐俊楠,朱智凯,N,N
73,山东大学,本题唯一指定算法,4,296,Silver,曹远,李元豪,吕玺,N,N
74,浙江工业大学,ZJUT5,4,297,Silver,欧阳鹏翔,王锦鸿,於佳乐,N,N
75,东北林业大学,要喵内不要打篮球,4,300,Silver,葛言禄,孙杰,张澎,N,N
76,厦门大学,多吃菜,4,301,Silver,张浩然,张添翼,赵佳驰,N,N
77,杭州电子科技大学,茗叶含香,4,320,Silver,刘铭洁,王涵朵,叶子帆,N,N
78,中国传媒大学,可有鱼丸粗面,4,335,Silver,曹可意,邓楚盟,夏业伟,N,N
79,东北大学秦皇岛分校,NEUQ-Thursday,4,337,Silver,董明宇,黄鑫源,孙意,N,N
80,长沙学院,为人师表,4,338,Silver,何邵炫,吴轩,许斌斌,N,N
81,西北工业大学,哆啦AC梦,4,341,Silver,杭帅君,金煜峰,李天舒,N,N
82,暨南大学,樱桃泥,4,347,Silver,胡铭枫,黄书鹏,霍志鸿,N,N
83,青岛大学,粉红凤凰花凤凰,4,362,Silver,李磊,李阳,祖亚君,N,N
84,山东大学（威海）,！！,4,370,Silver,曾鹏武,刘自轩,谢松江,N,N
85,重庆邮电大学,圆环之理,4,370,Silver,何杨,刘茜,周星宇,N,N
86,华南理工大学,SCUT_毛骨悚然行,4,375,Silver,郭俊豪,黄宗达,张芸辉,N,N
87,浙江大学城市学院,四级好难过啊,4,377,Silver,骆一辉,王文海,周佳辉,N,N
88,广东工业大学,强制授权,4,378,Silver,邓会业,黄炜轩,刘浩瀚,N,N
89,山东理工大学,lzz上分之旅,4,391,Silver,林瑞泽,张林,周煜浩,N,N
90,华东师范大学,沙发里的沙发,4,391,Silver,李思,吕熠强,陶传贵,N,N
91,中国石油大学（华东）,实际情况表现得更优,4,395,Silver,丁晨晨,马浩睿,王婷婷,N,N
92,苏州大学,两队同路开始多口相声,4,400,Silver,崔耘旗,徐伟,徐一,N,N
93,华南理工大学,犹豫就会败北，莽撞就会AC,4,408,Silver,曾越,李志豪,张业鸿,N,N
94,台州学院,最大牛,4,415,Silver,陶源,翁黄格,詹志龙,N,N
95,苏州大学,六人同行必有祭天队友,4,425,Silver,罗峰,乔丹,朱泽楷,N,N
96,杭州电子科技大学信息工程学院,要能搞个铜就好了,4,427,Silver,陈康,毛一枭,朱菡清,N,Y
97,东北师范大学,凛冬将至,4,428,Silver,陈瑜,梁怡萍,赵梦宇,N,N
98,西北工业大学,今天J题是SAM，E题是模拟，D题是AC自动机fail树上建可持久化线段树,4,430,Silver,毛心东,冉哲瑞,王嘉利,N,N
99,北京师范大学-香港浸会大学联合国际学院,气气球一分钟四个,4,431,Silver,邓凯文,龙跃鹏,徐子木,N,N
100,广东工业大学,追寻局部真理,4,435,Silver,李光证,刘铸耿,卢俊杰,N,N
101,郑州大学,挨奶一声山水绿,4,436,Silver,陈炜超,李辉,王昕瑜,N,N
102,北京交通大学,五年现场三年网络,4,438,Bronze,崔晓腾,张博成,朱泽衢,N,N
103,南昌航空大学,橘子猫暴打我,4,439,Bronze,陈肇杰,刘辅强,章文贵,N,N
104,电子科技大学,UESTC_Trimen,4,443,Bronze,梁子辉,潘星霖,吴旭东,N,N
105,湘潭大学,木瓜同学,4,447,Bronze,贺强,雷智凯,袁泽,N,N
106,长沙理工大学,我想要小姐姐,4,447,Bronze,陈文俊,黄迪文,彭洋,N,N
107,哈尔滨工程大学,沧桑旅者,4,469,Bronze,高嘉乐,贾连晨,张婧轩,N,N
108,中国地质大学（北京）,憨上加憨上加憨,4,469,Bronze,陈世琛,郝进,姜博源,N,N
109,青岛大学,AC主旋律,4,471,Bronze,王俊皓,赵心治,左一兵,N,N
110,哈尔滨工程大学,马上就要把楼上超过了,4,474,Bronze,方福鑫,王凯,许明杰,N,N
111,华中科技大学,管理员,4,478,Bronze,李仕奇,王慧,原圣聚,N,N
112,复旦大学,蝴蝶梦,4,482,Bronze,力维辰,肖亚语,许逸培,N,N
