Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Unofficial,Girl
1,1,北京理工大学,ddl战神,8,1111,+1(9),+1(167),-,+1(286),+1(52),-,+1(185),-,-,+1(35),+1(96),-,+1(281),0%,Gold,N,N
2,2,北京大学,3MA,7,588,+1(15),+1(85),-,+1(140),+1(45),-,+1(179),-,-,+1(71),+1(53),-,-4,0%,Gold,N,N
3,,北京大学,超长宕机,7,733,+1(18),+1(69),-,+1(260),+1(52),-,+1(176),-,-,+1(35),+1(123),-,-1,0%,Gold,N,N
4,3,清华大学,大伊万,7,812,+1(18),+1(298),-,+1(221),+1(42),-,+1(122),-,-,+1(32),+1(79),-,-,0%,Gold,N,N
5,4,东南大学,心做,7,821,+1(12),+1(141),-,-5,+1(54),-,+1(236),+1(214),-,+1(38),+1(126),-,-1,0%,Gold,N,N
6,5,上海交通大学,洒满黄浦江,7,928,+1(21),+1(221),-,-1,+1(33),-,+1(247),+1(294),-,+1(43),+1(69),-,-,0%,Gold,N,N
7,6,南方科技大学,南方科技大学-楚格,6,470,+1(22),+1(123),-,-1,+1(39),-2,+1(164),-,-,+1(16),+1(106),-,-2,0%,Gold,N,N
8,7,北京邮电大学,幸福安心养老所,6,486,+1(21),+1(100),-,-3,+1(53),-,+1(160),-,-,+1(38),+1(114),-,-,0%,Gold,N,N
9,8,东北师范大学,凛冬将逝,6,508,+1(10),-3,-,+1(227),+1(34),-,+1(132),-,-,+1(59),+1(46),-,-7,0%,Gold,N,N
10,,北京邮电大学,鸿蒙,6,547,+1(14),+1(52),-,-4,+1(71),-,+1(222),-,-,+1(84),+1(104),-,-10,0%,Gold,N,N
11,9,电子科技大学,UESTC_Best_Wife,6,550,+1(28),+1(92),-,-1,+1(69),-,+1(253),-,-,+1(41),+1(67),-,-,0%,Gold,N,N
12,10,华南理工大学,星辰闪耀,6,573,+1(14),+1(108),-,-,+1(36),-,+1(245),-,-,+1(61),+1(109),-,-5,0%,Gold,N,N
13,,东南大学,艾斯易悠-都行,6,591,+1(13),+1(177),-,-4,+1(40),-,+1(203),-,-,+1(55),+1(103),-,-,0%,Gold,N,N
14,11,杭州电子科技大学,int a,6,598,+1(29),+1(222),-,-1,+1(53),-,+1(187),-,-,+1(46),+1(61),-,-,0%,Gold,N,N
15,12,浙江大学,幽灵集团,6,604,+1(11),+1(219),-,-5,+1(27),-,+1(248),-,-,+1(33),+1(66),-,-3,0%,Gold,N,N
16,13,同济大学,机械化就输不了,6,607,+1(19),+1(154),-,-,+1(44),-,+1(215),-,-,+1(69),+1(106),-,-,0%,Gold,N,N
17,14,深圳大学,boomboomboom,6,616,+1(21),+1(141),-,-1,+1(52),-,+1(267),-,-,+1(36),+1(99),-,-,0%,Gold,N,N
18,15,华中科技大学,玩具阿萨姆运载车,6,640,+1(19),+1(71),-,-,+1(101),-,+1(193),-,-,+1(119),+1(137),-,-1,0%,Gold,N,N
19,,上海交通大学,空隙之线,6,646,+1(15),+1(194),-,-1,+1(31),-,+1(200),-,-,+1(63),+1(143),-,-6,0%,Gold,N,N
20,16,广东工业大学,猪猪冲冲冲,6,652,+1(12),+1(74),-,-,+1(104),-,+1(247),-,-,+1(92),+1(123),-,-3,0%,Gold,N,N
21,17,武汉大学,要迟到了,6,661,+1(20),-2,-,-,+1(37),-,+1(270),-,-,+1(47),+1(83),-,+1(204),0%,Gold,N,N
22,18,上海科技大学,未来道具研究所,6,668,+1(19),+1(177),-,-1,+1(53),-,+1(228),-,-,+1(63),+1(128),-,-,0%,Gold,N,N
