Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl
1,1,清华大学,窗边明月,11,1704,杨骏昭,陈孙立,徐翊轩,Gold,N,N
2,2,北京大学,重生之我是菜狗,10,917,王展鹏,罗煜翔,蒋凌宇,Gold,N,N
3,,清华大学,一更人,10,1109,周欣,叶卓睿,虞皓翔,Gold,N,N
4,,北京大学,巨大的金刚鸽子,10,1486,郭城志,陈宇,徐舟子,Gold,N,N
5,,北京大学,十三陵小丑,10,1705,任轩笛,吴瑾昭,黄致焕,Gold,N,N
6,,清华大学,老年组,10,1768,陈雨昕,林昊翰,周镇东,Gold,N,N
7,3,南京邮电大学,Citrus,9,1657,何乐晗,陈以信,赵一舟,Gold,N,N
8,4,南京大学,白日,8,984,王淳扬,冉雨杭,张昕渊,Gold,N,N
9,5,北京理工大学,ddl战神,8,1446,林恺,邹知秋,朱子林,Gold,N,N
10,6,浙江大学,Heltion & l1ll5 & SSerxhs,7,1113,赵广泽,吕耀维,凌子恒,Gold,N,N
11,7,北京航空航天大学,大吉大利，今晚吃 mian();,7,1234,潘天蔚,刘佳睿,郝泽钰,Gold,N,N
12,8,北京师范大学,内测度,7,1242,林靖轩,李鼎懋,李明泽,Gold,N,N
13,9,北京航空航天大学,玄学过题,7,1409,王宇龙,吴湛宇,权尚浩然,Gold,N,N
14,,清华大学,光辉,7,1471,蒋昊迪,邢竞择,陈桐飞,Gold,N,N
15,,中山大学,最后的午餐,7,1575,欧梓洋,黄途亮,梁梓豪,Gold,N,N
16,,浙江大学,老师饿饿让让芙兰,7,1798,陈彦博,沈哲贝,王海纳,Gold,N,N
17,10,杭州电子科技大学,杭电十五队,7,2235,柴汉锋,陈载元,陈思豪,Gold,N,N
18,,北京大学,你对队伍名有头猪吗？,6,648,曹原,陈胤戬,吴孟周,Gold,N,N
19,11,山东大学,说好不秃,6,791,门建彤,张丁祎,吴羲勇,Gold,N,N
20,12,香港中文大学,"ICPCP[O(log n), O(1)]",6,808,衛家熙,吴有孚,吴曉峻,Gold,N,N
21,13,天津大学,哈皮，拉ki，思迈露，耶,6,987,马凯,张博凯,叶泽侬,Gold,N,N
22,14,复旦大学,莱布尼兹惊坐起,6,1106,许逸培,刘明君,薛振梁,Gold,N,N
23,15,浙江工业大学,地球猫猫,6,1110,张宇翔,李亚伦,陈洁怡,Gold,N,N
24,16,西安电子科技大学,辛几何旋律,6,1187,冯畅,湛忠胜,周灿,Gold,N,N
25,17,哈尔滨工业大学（深圳）,骗分大队,6,1212,曹杨,潘思成,沈文,Gold,N,N
26,18,电子科技大学,UESTC_泳者,6,1217,刘轩,张鸿皓,黄博奕,Gold,N,N
27,19,哈尔滨工业大学,花盆种大蒜,6,1464,祁展华,朱峰,王羽婷,Gold,N,N
