Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,Dirt,Medal,Unofficial,Girl
1,1,Shanghai Jiao Tong University,All-in at the River,8,762,+1(19),-,+1(51),+1(222),+1(72),+1(77),+1(160),-4,+1(146),-,+1(15),0%,Gold,N,N
2,2,Tsinghua University,The Great Ball,8,814,+1(20),-,+1(165),+1(227),+1(79),+1(46),+1(93),+1(176),-14,-,+1(8),0%,Gold,N,N
3,3,Beihang University,Poor Math,7,755,+1(23),-,+1(82),-,+1(147),+1(88),+1(185),-,+1(215),-,+1(15),0%,Gold,N,N
4,4,Xi'an Jiaotong University,__builtin_clz,7,773,+1(6),-,+1(162),-,+1(62),+1(71),+1(249),-,+1(201),-,+1(22),0%,Gold,N,N
5,5,University of Science and Technology of China,Firezox,7,780,+1(20),-,+1(106),-1,+1(245),+1(65),+1(206),-,+1(124),-,+1(14),0%,Gold,N,N
6,6,Peking University,3Jokers,7,803,+1(32),-2,+1(131),+1(177),+1(118),+1(60),+1(259),-,-13,-,+1(26),0%,Gold,N,N
7,7,Southern University of Science and Technology,SUSTech-shiranai,7,911,+1(16),-,+1(210),+1(274),+1(90),+1(128),+1(167),-,-16,-,+1(26),0%,Gold,N,N
8,8,Harbin Institute of Technology,The tragedy of Macbeth,7,1173,+1(29),-,+1(298),+1(272),+1(170),+1(278),-,-,+1(92),-,+1(34),0%,Gold,N,N
9,9,South China University of Technology,Fat head fish has a fat head,6,610,+1(18),-,+1(215),-,+1(185),+1(63),+1(108),-,-10,-,+1(21),0%,Gold,N,N
10,10,University of Electronic Science and Technology of China,UESTC_MagicalGirls,6,702,+1(7),-,+1(81),-25,+1(259),+1(98),+1(232),-,-2,-,+1(25),0%,Gold,N,N
11,,Tsinghua University,Nattofan,6,721,+1(25),-,+1(223),-2,+1(107),+1(174),+1(155),-,-1,-,+1(37),0%,Silver,N,N
12,,Beihang University,AAUB,6,752,+1(18),-,+1(159),-,+1(188),+1(77),+1(262),-,-7,-,+1(48),0%,Silver,N,N
13,11,Beijing University of Posts and Telecommunications,Three konjaks,6,759,+1(9),-,+1(196),-,+1(215),+1(95),+1(227),-3,-,-,+1(17),0%,Silver,N,N
14,,Peking University,mahoushoujyo,6,780,+1(26),-,+1(266),-,-9,+1(78),+1(248),-,+1(143),-,+1(19),0%,Silver,N,N
15,,University of Electronic Science and Technology of China,UESTC_ManInStack,6,841,+1(16),-,+1(144),+1(190),-,+1(166),+1(279),-,-,-,+1(46),0%,Silver,N,N
16,,University of Electronic Science and Technology of China,UESTC_Remake of Oiers,6,852,+1(32),-,-7,+1(218),+1(169),+1(98),+1(292),-,-3,-,+1(43),0%,Silver,N,N
17,12,The Chinese University of Hong Kong,"ICPCP[O(log n), O(1)]",5,420,+1(17),-,+1(90),-,+1(227),+1(38),-6,-,-,-,+1(48),0%,Silver,N,N
18,,Shanghai Jiao Tong University,Wandering with straw sandals,5,496,+1(13),-,+1(91),-,+1(176),+1(192),-6,-,-7,-,+1(24),0%,Silver,N,N
19,13,Hangzhou Dianzi University,HDU-T17,5,571,+1(28),-,+1(186),-1,-,+1(217),+1(121),-,-,-,+1(19),0%,Silver,N,N
20,14,Hong Kong University of Science and Technology,HKUST1,5,631,+1(25),-,+1(143),-,-,+1(109),+1(293),-,-,-,+1(61),0%,Silver,N,N
21,15,Hunan University,Try Our Best,5,640,+1(13),-,+1(145),-,+1(287),+1(153),-,-,-,-,+1(42),0%,Silver,N,N
22,16,Zhejiang University of Technology,Tekkadan,5,658,+1(20),-,+1(169),-2,-,+1(165),+1(258),-,-,-,+1(46),0%,Silver,N,N
23,17,Tongji University,Zimba,4,323,+1(47),-,+1(156),-1,-,+1(89),-,-,-8,-,+1(31),0%,Silver,N,N
24,18,Zhengzhou University,Whateam,4,345,+1(20),-,+1(165),-,-,+1(116),-2,-,-,-,+1(44),0%,Silver,N,N
25,19,Huazhong University of Science & Technology,NEEDY DAIKON OVERDOSE,4,360,+1(45),-,+1(112),-,-4,+1(133),-10,-,-,-,+1(70),0%,Silver,N,N
26,20,Northeastern University at Qinhuangdao,The Duiming Can't Pass Shenhe,4,362,+1(20),-,+1(171),-,-,+1(105),-9,-,-,-,+1(66),0%,Silver,N,N
27,,Hangzhou Dianzi University,HDU-T16,4,371,+1(22),-,+1(216),-,-4,+1(96),-,-,-3,-,+1(37),0%,Silver,N,N
28,21,Guilin University of Electronic Technology,QAQ,4,382,+1(17),-,-4,-1,+1(262),+1(71),-,-,-,-,+1(32),0%,Silver,N,N
29,22,Zhongshan (Sun Yat-sen) University,SYSU_404,4,418,+1(28),-,-10,-,-,+1(77),+1(297),-,-,-,+1(16),0%,Silver,N,N
30,,Huazhong University of Science & Technology,fufu eating rice,4,438,+1(31),-,-13,-,-,+1(88),+1(277),-,-,-,+1(42),0%,Silver,N,N
31,23,University of Science and Technology Beijing,UEP,4,460,+1(28),-,+1(196),-,-,+1(161),-,-,-,-,+1(75),0%,Bronze,N,N
31,,Southern University of Science and Technology,SUSTech-Catalonian,4,460,+1(38),-,+1(254),-,-11,+1(114),-,-,-,-,+1(54),0%,Bronze,N,N
33,,The Chinese University of Hong Kong,MaLiuShui Newbies,4,461,+1(15),-,+1(292),-,-,+1(93),-,-,-,-,+1(61),0%,Bronze,N,N
34,,The Chinese University of Hong Kong,Creme Burlee,4,463,+1(21),-,+1(297),-,-,+1(96),-8,-,-,-,+1(49),0%,Bronze,N,N
35,24,Hangzhou Normal University,I'm brave,4,466,+1(23),-,+1(281),-,-,+1(108),-,-,-,-,+1(54),0%,Bronze,N,N
36,,Hong Kong University of Science and Technology,HKUST2,4,469,+1(41),-,+1(135),-,-,+1(211),-5,-,-,-,+1(82),0%,Bronze,N,N
37,25,Harbin Institute of Technology at Shenzhen,hanser my angel,4,473,+1(22),-,+1(278),-,-,+1(124),-,-,-,-,+1(49),0%,Bronze,N,N
