Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Unofficial,Girl
1,1,Shanghai Jiao Tong University,Willow,10,1353,+1(51),+1(178),+1(195),-,+1(128),+1(73),+1(282),+1(16),-,+1(295),+1(31),+1(104),0%,N,N
2,2,Xi'an Jiaotong University,Dodo Kindergarten,9,1102,+1(34),+1(215),+1(298),-,+1(92),+1(71),-,+1(18),-,+1(190),+1(15),+1(169),0%,N,N
3,3,Tsinghua University,Not UB Any More,9,1104,+1(40),+1(100),+1(252),-,+1(149),+1(123),+1(284),+1(18),-,-,+1(32),+1(106),0%,N,N
4,4,Peking University,Not Found,9,1270,+1(23),+1(203),+1(295),-,+1(137),+1(270),-,+1(11),-,+1(105),+1(44),+1(182),0%,N,N
5,,Peking University,What's name,8,974,+1(49),+1(145),+1(193),-,+1(136),+1(214),-,+1(20),-,-4,+1(35),+1(182),0%,N,N
6,5,Beihang University,Dauntless Shield,7,544,+1(38),-1,-,-5,+1(91),+1(176),+1(132),+1(14),-,-,+1(22),+1(71),0%,N,N
7,6,University of Electronic Science and Technology of China,UESTC_Hanabi,7,700,+1(34),+1(216),+1(205),-,-8,+1(142),-,+1(12),-,-,+1(26),+1(65),0%,N,N
8,,University of Electronic Science and Technology of China,UESTC_Ashes_of_Sixpence,7,815,+1(38),+1(187),-3,-,+1(149),+1(248),-1,+1(7),-,-,+1(62),+1(124),0%,N,N
9,7,"The Chinese University of Hong Kong, Shenzhen",*\( ^w^ )/*,7,831,+1(33),+1(204),+1(164),-,+1(239),-20,-,+1(21),-,-,+1(30),+1(140),0%,N,N
10,8,University of Hong Kong,I am not in danger. I am the danger.,7,885,+1(34),+1(278),-6,-,+1(88),-8,+1(231),+1(47),-,-,+1(48),+1(159),0%,N,N
11,9,The Chinese University of Hong Kong,Zero Knowing Spore,7,983,+1(52),+1(273),-2,-,+1(250),+1(225),-,+1(21),-,-,+1(29),+1(133),0%,N,N
12,,Tsinghua University,No Lasting Luck,6,484,+1(87),+1(157),-3,-,+1(122),-5,-,+1(14),-,-,+1(9),+1(95),0%,N,N
13,10,Harbin Institute of Technology,Yeah Yeah Yeah,6,490,+1(69),-1,-12,-,+1(79),+1(159),-,+1(26),-,-,+1(50),+1(107),0%,N,N
14,,Tsinghua University,SLYZ visiting group,6,789,+1(151),+1(259),+1(213),-,+1(88),-2,-,+1(15),-,-,+1(63),-6,0%,N,N
15,11,University of Science and Technology of China,ustcteam1,6,870,+1(76),-,-,-,+1(287),+1(150),-,+1(45),-,-,+1(48),+1(264),0%,N,N
16,12,Hong Kong University of Science and Technology,HKUST1,5,384,+1(36),-,-,-,+1(196),-6,-1,+1(10),-,-,+1(25),+1(117),0%,N,N
17,13,Guangdong University of Technology,GDUT_Crossroads,5,412,+1(64),-,-,-,+1(158),-3,-,+1(10),-,-,+1(45),+1(135),0%,N,N
18,,University of Hong Kong,fake plastic tree,5,477,+1(64),-,-,-,+1(227),-8,-,+1(27),-,-,+1(24),+1(135),0%,N,N
19,,University of Hong Kong,Who didn't take the third dose,5,487,+1(60),-,-3,-,+1(166),-4,-,+1(22),-,-,+1(30),+1(209),0%,N,N
20,,Beihang University,fire and blood,5,515,+1(46),-,-1,-,+1(211),+1(170),-,+1(30),-,-,+1(58),-3,0%,N,N
21,14,National University of Mongolia,NUM-JBKH,5,541,+1(60),-,+1(210),-,-,-10,-,+1(4),-,-,+1(37),+1(230),0%,N,N
22,,Beihang University,3 handicapped coders,5,545,+1(65),-,-,-,+1(183),+1(233),-,+1(17),-,-,+1(47),-3,0%,N,N
23,15,Huazhong University of Science and Technology,Our Dorm are Fantastic!,5,568,+1(78),-,-,-,+1(264),-,-,+1(18),-,-,+1(36),+1(172),0%,N,N
24,,Guangdong University of Technology,GDUT_Pork chop and egg rice,5,585,+1(53),-,-,-,+1(251),-,-,+1(21),-,-,+1(30),+1(230),0%,N,N
25,16,Hong Kong Baptist University,HKBU-T1,5,643,+1(77),-,-,-,+1(296),-,-,+1(33),-,-,+1(38),+1(199),0%,N,N
26,17,Shenzhen University,SZU_Tencent,5,697,+1(88),-,-,-,+1(213),-7,-,+1(35),-,-,+1(70),+1(291),0%,N,N
27,,Xi'an Jiaotong University,qzdt,5,743,+1(129),-,+1(247),-,-,-,-,+1(32),-,-,+1(52),+1(283),0%,N,N
28,18,Nanjing University of Posts and Telecommunications,So Close,5,805,+1(178),-,-,-,+1(242),-14,-,+1(10),-,-,+1(90),+1(285),0%,N,N
29,,Xi'an Jiaotong University,What's up?,4,172,+1(36),-,-,-,+1(87),-10,-,+1(18),-,-,+1(31),-3,0%,N,N
30,,The Chinese University of Hong Kong,ACE,4,260,+1(56),-,+1(162),-,-,-10,-,+1(15),-,-,+1(27),-4,0%,N,N
31,19,Northwestern Polytechnical University,too painful,4,288,+1(71),-,-,-,-,-,-1,+1(24),-,-,+1(39),+1(154),0%,N,N
32,,Hong Kong University of Science and Technology,Accepted,4,317,+1(79),-,-,-,-3,-2,-,+1(13),-,-,+1(51),+1(174),0%,N,N
33,20,Zhongshan (Sun Yat-sen) University,SYSU_Penalty_Limit_Exceeded,4,320,+1(84),-,-2,-,+1(181),-6,-,+1(25),-,-,+1(30),-3,0%,N,N
34,21,Henan University of Science and Technology,jwm,4,321,+1(84),-,-,-,-,-,-,+1(23),-,-,+1(54),+1(160),0%,N,N
35,,The Chinese University of Hong Kong,any idea,4,325,+1(56),-,-,-,-3,-1,-,+1(9),-,-,+1(27),+1(233),0%,N,N
36,,University of Science and Technology of China,ustcteam3,4,327,+1(71),-,-,-,+1(198),-6,-1,+1(23),-,-,+1(35),-1,0%,N,N
37,22,Beijing University of Posts and Telecommunications,Merry One Umy Zero,4,333,+1(96),-,-,-,-,+1(204),-,+1(13),-,-,+1(20),-7,0%,N,N
38,23,Zhengzhou University,NANA,4,359,+1(93),-,-,-,-,-7,-,+1(16),-,-,+1(38),+1(212),0%,N,N
39,,University of Science and Technology of China,ustcteam2,4,371,+1(73),-,-,-,-1,-11,-,+1(10),-,-,+1(61),+1(227),0%,N,N
40,,Zhengzhou University,I never leave,4,385,+1(96),-,-,-,-,-1,-,+1(15),-,-,+1(46),+1(228),0%,N,N
41,,Beijing University of Posts and Telecommunications,popkart,4,398,+1(81),-,-,-,-,-6,-,+1(27),-,-,+1(44),+1(246),0%,N,N
42,24,Kunming University of Science and Technology,Red and White,4,412,+1(59),-,-,-,-,-,-,+1(22),-,-,+1(41),+1(290),0%,N,N
43,25,South China University of Technology,try try search,4,418,+1(115),-,-4,-,-,-,-,+1(21),-1,-,+1(38),+1(244),0%,N,N
44,,South China University of Technology,Saekano: How to make a problem accepted,4,419,+1(93),-,+1(230),-,-,-,-,+1(44),-,-,+1(52),-,0%,N,N
45,26,Zhejiang Chinese Medical University,ZCMU-Sanyang Open the Door,4,425,+1(83),-,-,-,+1(266),-3,-,+1(19),-,-,+1(57),-,0%,N,N
46,27,Shanghai Normal University,SHNU_Early-TechnijiangThree,4,438,+1(121),-,-1,-,-1,-,-,+1(15),-,-,+1(57),+1(245),0%,N,N
47,28,Huazhong Agricultural University,AuAgCu,4,446,+1(99),-,-,-,-,-,-,+1(20),-,-,+1(34),+1(293),0%,N,N
