Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,北京大学,三人齐心，坐断钢筋,12,1456,Gold,吉如一,洪华敦,丁力煌,N,N
2,南京大学,咖啡鸡,10,1180,Gold,凌浩,刘弘洋,张扬播,N,N
3,北京大学,逆序欧拉回路,10,1584,Gold,陆宇暄,吴瑾昭,张宇博,N,N
4,浙江大学,Legilimens,9,889,Gold,陈靖邦,叶梓成,刘明锐,N,N
5,浙江大学,YaSHa,9,1052,Gold,黄洋逸,刘一辰,邓浩然,N,N
6,清华大学,燃烧我的编译器,8,553,Gold,张晨,谢兴宇,孙文厚,N,N
7,福州大学,小黄鸭,8,729,Gold,吴媛媛,尹泽锋,傅滨,N,N
8,复旦大学,西瓜王,8,832,Gold,王飒,耿明睿,薛振梁,N,N
9,南京大学,Calabash!,8,914,Gold,陈劭源,王冬杨,王淳扬,N,N
10,中山大学,中山大学,8,917,Gold,林一诺,李洋,邓明昱,N,N
11,南京航空航天大学,赫拉克勒斯,8,994,Gold,黄聿超,黄振,王天行,N,N
12,北京航空航天大学,除了AC,8,1012,Gold,郭镕昊,王嘉翼,姜圣虎,N,N
13,吉林大学,黑框眼镜,8,1017,Gold,周植,张虎,王登泰,N,N
14,同济大学,荠蒻,8,1111,Gold,刘毅韬,欧阳小伟,任秋宇,N,N
15,北京航空航天大学,从不刷题队,8,1163,Gold,周环宇,向宏毅,何铭睿,N,N
16,浙江大学,Helianthus,8,1204,Gold,李彦奎,李广林,吕耀维,N,N
17,北京交通大学,猜歌群,8,1206,Gold,何卫锋,郑黎明,王天舒,N,N
18,浙江理工大学,打完这仗回校养老,8,1255,Gold,潘灵伟,胡震元,王宣凯,N,N
19,北京师范大学,法老汇,8,1286,Gold,孙科,高健扬,吕青松,N,N
20,哈尔滨工业大学,工程制图,8,1313,Gold,王安杰,吴逸飞,罗泽建,N,N
21,清华大学,西方复读机,8,1343,Gold,何广荣,樊志睿,梁家铭,N,N
22,武汉大学,我能摸摸你的奖杯吗,8,1609,Gold,刘沛良,于斯同,唐凯亮,N,N
23,东北大学,测试账号,7,572,Gold,武嘉鑫,陈久健,李柏雨,N,N
24,复旦大学,广告位招租,7,611,Silver,刘孙瑞,肖起凡,杨光宇,N,N
25,山东大学,看着看着就不行了,7,692,Silver,俞旭铮,熊理达,刘京升,N,N
26,南京邮电大学,从零开始,7,706,Silver,李尧羿,吴永琦,孙斗南,N,N
27,浙江工业大学,眼大鸟,7,708,Silver,江一鸣,黄坤,王孜杰,N,N
28,东北师范大学,绯色月下,7,730,Silver,陈敏锐,王长虎,王储,N,N
