Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,清华大学,三只鸽子,10,1449,Gold,陈江伦,闫书弈,武弘勋,N,N
2,上海交通大学,人类智慧,7,673,Gold,孙恩泽,罗中瑭,毛潇涵,N,N
3,浙江大学,Reconquista,7,877,Gold,颜姜哲,蒋仕彪,刘振威,N,N
4,上海交通大学,类星体,6,681,Gold,陈伟哲,卢宇欣,郭林松,N,N
5,北京航空航天大学,趣味时光,6,692,Gold,伍俊洁,钟梓皓,邓一兴,N,N
6,北京大学,冒险小虎队,6,718,Gold,郭资政,杨思祺,杨溢鑫,N,N
7,南京大学,三个小学生,6,747,Gold,李一丁,兰方舟,姜勇刚,N,N
8,复旦大学,祈求者,6,807,Gold,高铭鸿,吴明健,王轩宇,N,N
9,南京邮电大学,拯救世界,6,834,Gold,邹子昕,张正昊,李争彦,N,N
10,华南理工大学软件学院,Fade,6,850,Gold,胡日扬,邢正颖,朱国富,N,N
11,武汉大学,序曲,6,868,Gold,刘傲寒,吴圣辉,王睿达,N,N
12,南京大学,llIlIIlIll,6,1020,Gold,董杨静,裴一凡,张浩南,N,N
13,湖南大学,乌龙茶,6,1094,Gold,陈安祺,周国浩,朱伟劲,N,N
14,中国科学技术大学,中科大十队,6,1152,Gold,赵宸,邓龙,曾明亮,N,N
15,上海交通大学,血小板,5,379,Gold,凌晧煜,陈彤,顾逸,N,N
16,北京交通大学,猜歌群,5,388,Gold,何卫锋,郑黎明,王天舒,N,N
17,北京航空航天大学,小黄鸡咕咕咕,5,448,Gold,张明远,金代圣,王柏润,N,N
18,浙江工业大学,欢迎报考浙江工业幼儿园,5,491,Gold,李弘毅,李昕虎,陶宇星,N,N
19,北京理工大学,乖乖站好,5,516,Gold,沈云汉,徐子懋,尹昊,N,N
20,湖南科技大学,Aurora,5,545,Silver,王春,王智杰,袁泉,N,N
21,北京大学,calorie,5,550,Silver,麦景,王诚科,陈代超,N,N
22,南京理工大学,不图不挂素质游戏,5,553,Silver,金力为,马靖豪,颜俊梁,N,N
23,大连海事大学,脸滚键盘,5,559,Silver,薛崇祥,张宇豪,董本禹,N,N
24,同济大学,荠蒻,5,563,Silver,刘毅韬,欧阳小伟,任秋宇,N,N
25,华南理工大学计算机学院,非常想要钱,5,574,Silver,傅少鹏,魏承东,黄仕嘉,N,N
26,北京邮电大学,阿訇念经，嘤嘤嘤嘤,5,597,Silver,房庆凯,于珺泽,褚逸豪,N,N
27,成都信息工程大学,人活着就是为了血小板,5,634,Silver,林湖龙,谢仁义,袁曦焜,N,N
28,东北大学秦皇岛分校,我RE，我快乐,5,636,Silver,金轶凡,吴嘉梁,毛润,N,N
29,浙江大学,EuropeSun,5,644,Silver,欧阳逸飞,王宇晗,张鑫,N,N
30,上海交通大学,天际,5,649,Silver,黎学丞,郭李毅,赖睿航,N,N
31,福州大学,红高粱,5,677,Silver,洪金鑫,管宇,李进,N,N
32,北京邮电大学,辣个蓝人,5,683,Silver,任羽辰,金浩男,路已人,N,N
33,浙江理工大学,铁打的小分队,5,691,Silver,郑钰,张治文,李杭澄,N,N
34,华南农业大学,德国骨科,5,697,Silver,黎明奔,张宏海,黄芝林,N,N
