Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Coach
1,华东师范大学,acm.ecnu.edu.cn,7,985,Gold,林方欣,周亦然,张羽戈,肖春芸
2,上海交通大学,拉格朗,7,1056,Gold,李泊宁,陈冲,徐牧辰,俞勇
3,复旦大学,假面之人,7,1417,Gold,周霖,温昕岳,苏津岳,张新宇
4,上海交通大学,塔里斯曼,6,535,Gold,刘尔之,郭文轩,吴润哲,俞勇
5,吉林大学,黑框眼镜,6,629,Gold,周植,张虎,王登泰,郭东伟
6,南京大学,咖啡鸡,6,637,Gold,凌浩,刘弘洋,张扬播,马骏
7,上海交通大学,NEW CODE!!,6,658,Gold,孙司宇,张芷萁,郭睿涵,俞勇
8,北京大学,c++11(c++11),6,685,Gold,孙奕灿,黄致焕,黄臻祺,罗国杰
9,北京大学,饥荒,6,700,Gold,季雨田,费凡,范寒威,罗国杰
10,上海交通大学,凡性的提醒,6,724,Gold,李洛玄,陈宇轩,张宇恒,俞勇
11,浙江大学,Dogeheads,6,724,Gold,马宁,田文杰,高辰翔,王灿
12,西安交通大学,tfucju,6,754,Gold,丁聪,张博航,刘一凡,王灿
13,电子科技大学,UESTC_Vici,6,830,Gold,刘宸睿,潘星霖,陈鑫,杨鹏
14,中山大学,中山大学_气球一元一个,6,873,Gold,王凯祺,黄镇,范俭豪,郭嵩山
15,东北大学,测试账号,6,969,Gold,李柏雨,武嘉鑫,陈久健,冷芳玲
16,福建工程学院,小弟弟，你怎么回事,6,987,Gold,兰家旺,许伟骐,陈俊鸿,唐郑熠
17,北京航空航天大学,比宇宙更远的地方,6,1049,Gold,杜昊,赵立晨,王嘉翼,梁明阳
18,东南大学,艾斯易悠,5,478,Gold,张建东,陈曦,韩数,倪庆剑
19,哈尔滨工业大学,落日余晖,5,534,Gold,姚顺,于金鹭,陈海峰,孙大烈
20,河海大学,猪肘子我正在煮,5,535,Gold,郑涌,王文,张世伟,张雪洁
21,北京航空航天大学,啊，队友呢？队友呢？队友呢？！队友呢？！？！,5,580,Gold,钟金成,蒋泳波,胡智昊,梁明阳
22,复旦大学,征服者,5,613,Gold,曹野,张天翔,郑卓睿,张新宇
23,浙江大学,Repeaters,5,619,Gold,孙志博,沈霁,周义涵,王灿
24,电子科技大学,UESTC_moyu,5,629,Gold,李子通,金欧文,刘昕,杨鹏
25,东北大学,多喝热水,5,632,Gold,王云杰,湛进,林鹤翔,张天成
26,浙江师范大学,QvQ,5,648,Silver,李苗进,林佳,周鹗荐,韩建民
27,重庆邮电大学,十里坡键神,5,651,Silver,林锦,李超予,鲁运,甘玲
28,北京邮电大学,房东的狗,5,688,Silver,黄岳嘉,杨铁智,郑铎,杨亚
29,浙江大学宁波理工学院,忒修斯之船,5,694,Silver,叶森,颜蒙杰,陈一帆,蔡明伦
30,浙江大学,Trident-Z,5,694,Silver,章可循,张清棋,周屹赫,王灿
31,南京大学,No Response,5,703,Silver,宋子辰,张天陵,王予曦,马骏
32,华南理工大学,Fade,5,704,Gold,胡日扬,邢正颖,朱国富,陈俊颖
33,天津大学,TJU_OpenBayes,5,737,Silver,冯桥,张启晗,樊鹏,喻梅
34,北京理工大学,肥宅大哭.jpg,5,749,Silver,龙水彬,程苗苗,周赫斌,林永钢
35,电子科技大学,UESTC_or 1=1#,5,767,Silver,秦义茼,钱景涛,吴旭东,杨鹏
36,四川大学,拿完衣服就跑,5,783,Silver,陈荣钰,张雷,李云帆,左劼
37,东北林业大学,有何贵干,5,791,Silver,牟冠华,张云铭,朱芮,陈宇
38,山东大学,唯我心,5,797,Silver,黄敏聪,魏秀颖,侯浩军,何萌
39,杭州电子科技大学,杭电一队,5,809,Silver,陈惇显,祝之禺,徐景滨,刘春英
40,南京理工大学,不图不挂素质游戏,5,810,Silver,金力为,田鑫,马靖豪,余立功
41,南京航空航天大学,赫拉克勒斯,5,860,Silver,黄聿超,黄振,王天行,邹春然
42,天津工业大学,做宝可梦,5,913,Silver,陈成,江敬恩,王晨阳,任淑霞
43,北京师范大学,圆环之理,5,951,Silver,吴剑荣,黄鸣宇,吴松原,冯速
44,北京化工大学,*,4,320,Silver,赵伟杰,邓佩瑶,刘权达,刘勇
45,杭州电子科技大学,杭电二队,4,378,Silver,苏金涛,朱家豪,岑肃廷,刘春英
46,国防科技大学,听党指挥,4,379,Silver,邱昊中,宋澎玉,夏功榆,尹良泽
47,北京理工大学,1e9+7,4,450,Silver,牟思睿,刘晨,赵曜,林永钢
48,南方科技大学,SUSTech_Oxford,4,458,Silver,曹嘉平,叶琦昊,姚寅喆,唐博
49,浙江农林大学,卖竹鼠三元一只十元三只,4,488,Silver,黄磊,顾博盛,余凯,吴达胜
50,华南理工大学软件学院,一只人赢两只败犬,4,502,Silver,孙宇鹏,王络,黄浩填,陈俊颖
51,天津大学,TJU_无人深空,4,507,Silver,吕勇梁,许宁馨,王宇玄,喻梅
52,长沙理工大学,想要起好队名却不知道起什么队名起好队名却发现没有报名队,4,515,Silver,张昊,刘健博,刘乐遥,胡宁静
53,华中科技大学,黑色切题者,4,520,Silver,李毅朝,罗宇兵,董小钧,何琨
54,安徽大学,Amadeus,4,547,Silver,汪敏瑞,施余峰,陈寰,周健
55,浙江大学城市学院,不看晕针,4,547,Silver,吴成铭,周佳辉,周德阳,柯海丰
56,重庆大学,朋友代打,4,567,Silver,徐茂凯,刘尧,胡庆弘,李佳
57,广东工业大学,夜幕灯塔,4,580,Silver,陈锦明,叶健朗,吴涤豪,孙宣东
58,山东大学,送风口严禁遮挡,4,584,Silver,刘世豪,李熠炜,李双乐,何萌
59,河南大学,世纪末彼岸花丛中的死之结界,4,604,Silver,程春阳,高超尘,唐小钞,王建林
60,西安交通大学,打铁就女装,4,612,Silver,朱泽荧,降伟鹏,刘淼,徐宏喆
61,浙江大学城市学院,為好美的賽比上獻過鹹氣魚,4,614,Silver,陈士俊,汪好盛,孙华阳,柯海丰
62,南京航空航天大学,还差得远呢,4,620,Silver,吕超杰,王浩泽,尼博琳,邹春然
63,北京交通大学,(´・ω・`)????,4,623,Silver,金睿琦,胡雨轩,梁伯翰,许华婷
64,湖南师范大学,巨巨又双叒叕A了二道题,4,624,Silver,郭子源,陆泽军,杨盼成,罗迅
65,中山大学,中山大学_三磅斤,4,630,Silver,梁济凡,陈禹诚,赵俊威,林瀚
66,北京交通大学,北京交题大学,4,635,Silver,王显龙,宋绪杰,王婉铃,黄华
67,中国科学院大学,为龙芯打工,4,635,Silver,韩雨,任瀚昇,姚宇浩,孙晓明
68,山东理工大学,空之轨迹,4,638,Silver,李东庆,孙振强,李绪伟,曲志坚
69,浙江理工大学,我们都一样,4,706,Silver,彭书海,李幽,李天雄,罗强
70,厦门大学,东北风,4,723,Silver,李远航,洪佩怡,王炳森,林文水
71,哈尔滨工业大学,星夜,4,730,Silver,李孝睿,杨逸凡,郭向哲,孙大烈
72,中国矿业大学,嘟嘟噜,4,798,Silver,蒋理文,陈俊宇,蒋宇,毕方明
73,南京理工大学,维他豆奶,4,806,Silver,刘旭峰,贾持恒,何家奇,余立功
