Rank,School,Team,Solved,Penalty,Medal,,Member1,Member2,Member3,Unofficial,Girl
1,清华大学,三个顶俩,10,1627,Gold,金奖,闫书弈,朱震霆,王修涵,N,N
2,南京大学,咖啡鸡,7,1200,Gold,金奖,凌浩,刘弘洋,张扬播,N,N
3,清华大学,吃西瓜三人组,6,646,Gold,金奖,钟知闲,高睿泉,徐海珂,N,N
4,南京大学,Calabash!,6,837,Gold,金奖,陈劭源,王冬杨,王淳扬,N,N
5,浙江大学,Runespoor,6,991,Gold,金奖,李彦奎,张清棋,吕耀维,N,N
6,北京大学, 好丽友派,5,694,Gold,金奖,杭心语,刘俊豪,曾言,N,N
7,复旦大学,峰城大附属学园,5,759,Gold,金奖,高铭鸿,吴明健,温昕岳,N,N
8,重庆大学,这题不是随便搞吗,5,775,Gold,金奖,张博虓,徐茂凯,汪啸宇,N,N
9,同济大学,荠蒻,5,788,Gold,金奖,欧阳小伟,刘毅韬,赵屹雄,N,N
10,杭州电子科技大学,五点共圆,5,972,Gold,金奖,陈惇显,顾奕臻,祝之禺,N,N
11,中山大学,中山大学_午餐不见了,4,164,Gold,金奖,傅畅,黄途亮,刘瀚之,N,N
12,复旦大学,小小青蛙不输风雨,4,183,Gold,金奖,耿明睿,高庆麾,裘家浩,N,N
13,东南大学,艾斯易悠-都行,4,219,Gold,金奖,陈启航,陈曦,韩数,N,N
14,北京交通大学,大脑喷射,4,229,Silver,银奖,金睿琦,胡雨轩,蔡伟斌,N,N
15,华东师范大学,_,4,249,Silver,银奖,谢嘉东,赵云翔,朱桐,N,N
16,电子科技大学,樱花泪,4,269,Silver,银奖,刘宸睿,陈天乐,刘昕,N,N
17,北京大学,deceiver,4,281,Silver,银奖,魏罗健,孔朝哲,陈俊恺,N,N
18,北京理工大学,森の妖精,4,320,Silver,银奖,沈云汉,龙水彬,周赫斌,N,N
19,广东工业大学,最大瘤,4,326,Silver,银奖,郑重,陈震东,康泽楠,N,N
20,山东大学,十六夜,4,335,Silver,银奖,霍瑜,李双乐,刘京升,N,N
21,中山大学,中山大学_职业鸽手,4,337,Silver,银奖,王程钥,谢立辉,徐达烽,N,N
22,浙江财经大学,星光 ,4,352,Silver,银奖,柴奕,李欣阳,周人豪,N,N
23,浙江大学,Wheatfield with Crows,4,354,Silver,银奖,邓浩然,陈昱文,林思仪,N,N
24,北京航空航天大学,咕咕鸽,4,371,Silver,银奖,伍俊洁,钟梓皓,邓一兴,N,N
25,南京邮电大学,NJUPT_apulupai ,4,377,Silver,银奖,陈锐,柏广凡,刁煜凡,N,N
26,东北师范大学,凛冬将至,4,393,Silver,银奖,赵梦宇,梁怡萍,陈瑜,N,N
27,合肥学院,我带你们打,4,397,Silver,银奖,方元中,徐永强,闵德海,N,N
28,山东科技大学,发现号,4,412,Silver,银奖,梁天心,邱鹏,上官祥正,N,N
29,安徽大学,墙角猫,4,415,Silver,银奖,王唯臣,陈昱翔,汪敏瑞,N,N
30,上海交通大学,星尘,4,418,Silver,银奖,石昕怡,林春茹,徐若凡,N,N
31,华南理工大学计算机学院,SCUT_赌徒,4,421,Silver,银奖,丁琪,陈烔晖,周瑞东,N,N
32,南京航空航天大学,犹豫，就会白给,4,438,Silver,银奖,胡天豪,茅涵俊,朱天齐,N,N
33,福建师范大学,中二少年,4,439,Silver,银奖,林炜,黄银,黄嘉琦,N,N
34,浙江理工大学,钻石羊,4,446,Silver,银奖,林航宇,罗晨宇,杨昊泽,N,N
35,南京理工大学,北京烤鸭沾豆汁儿,4,452,Silver,银奖,刘旭峰,贾持恒,徐杨世杰,N,N
36,郑州大学,队友倒写强连通,4,454,Silver,银奖,陈洋,黄中源,苏同,N,N
37,国防科技大学,听党指挥,4,454,Bronze,铜奖,邱昊中,宋澎玉,方家琦,N,N
38,上海交通大学,永恒之蓝,4,469,Bronze,铜奖,李至丹,衡阳,史添能,N,N
39,深圳大学,爆零,4,473,Bronze,铜奖,何嘉键,陈培豪,廖竞,N,N
40,湖南大学 ,白手起家,4,480,Bronze,铜奖,张旭,鲁继翔,程泽群,N,N
41,南方科技大学,南方科技大学_ZZZ,4,487,Bronze,铜奖,姚寅喆,朱泓霖,张文灏,N,N
42,天津大学,背着队友偷偷WA,4,490,Bronze,铜奖,范一隆,施浩森,王艺达,N,N
43,南京晓庄学院,全体起立,4,503,Bronze,铜奖,蒋俊杰,邱依良,谢宁竞,N,N
44,武汉大学,能吃能睡带得动,4,506,Bronze,铜奖,吴靖盛,齐童,林朝洋,N,N
45,上海大学,魔菜队,4,511,Bronze,铜奖,罗哲焱,林世铨,董昱,N,N
46,哈尔滨工程大学,可持久化金清树,4,515,Bronze,铜奖,张凌源,连金清,孙雅涵,N,N
47,西安交通大学,对对队,4,515,Bronze,铜奖,艾继涛,费立涵,万和润,N,N
48,苏州大学,键盘冒奶,4,519,Bronze,铜奖,王浩,诸葛子英,李天镜,N,N
49,哈尔滨理工大学,哈理工2019秋01,4,520,Bronze,铜奖,陈鑫,顾佳昊,于博文,N,N
50,浙江师范大学,???,4,540,Bronze,铜奖,周鹗荐,周天辰,段忠杰,N,N
51,江南大学,第1226564个质数,4,540,Bronze,铜奖,陈朝潮,卢涵,许轲,N,N
52,广州大学,我钟意食烧鸡翼,4,543,Bronze,铜奖,卢浩宇,余梓宁,陈浩珲,N,N
53,华东理工大学,这不是bzoj原题吗,4,558,Bronze,铜奖,付成瑜,陈卓凡,李震,N,N
54,安阳工学院,newgate txdy,4,559,Bronze,铜奖,韩韦凡,张丁韦,娄志垚,N,N
55,北京邮电大学,鸿蒙,4,566,Bronze,铜奖,刘涛,谭海川,段锦宇,N,N
56,山东理工大学,终是勇者放下了剑,4,575,Bronze,铜奖,杨丰磊,亓玉宁,亓世恒,N,N
57,浙江大学宁波理工学院,自由探戈,4,588,Bronze,铜奖,潘肖磊,汪昊泽,张斌,N,N
58,浙江农林大学,白昼之光,4,591,Bronze,铜奖,黄磊,顾博盛,章朝哲,N,N
