Rank,School,Team,Solved,Penalty,Medal,,Member1,Member2,Member3,Unofficial,Girl
1,北京大学,三人齐心，坐断钢筋,11,1499,Gold,金奖,洪华敦,丁力煌,吉如一,N,N
2,清华大学,三演一鸽,8,996,Gold,金奖,杨天祺,吴作同,范致远,N,N
3,北京大学,好丽友派,6,589,Gold,金奖,杭心语,刘俊豪,曾言,N,N
4,山东大学,十六夜,6,703,Gold,金奖,霍瑜,李双乐,刘京升,N,N
5,中山大学,中山大学_午餐不见了,6,729,Gold,金奖,傅畅,黄途亮,刘瀚之,N,N
6,中国矿业大学,黄金矿工,6,744,Gold,金奖,蒋理文,范艺杰,蒋宇,N,N
7,电子科技大学,UESTC_Default,6,768,Gold,金奖,胡秋豪,张志斌,周泊帆,N,N
8,浙江大学,业余门槛,6,769,Gold,金奖,陈靖邦,叶梓成,刘明锐,N,N
9,上海交通大学,国士无双,6,836,Gold,金奖,朱玮昊,郑皓天,何泓豪,N,N
10,浙江大学宁波理工学院,宁静致远,6,852,Gold,金奖,张逸凡,潘肖磊,林鑫淼,N,N
11,浙江大学,Runespoor,6,852,Gold,金奖,李彦奎,张清棋,吕耀维,N,N
12,华东师范大学,acm.ecnu.edu.cn:1001,6,880,Gold,金奖,林方欣,周亦然,张羽戈,N,N
13,哈尔滨工业大学,我们都有光明的前途,6,894,Gold,金奖,孔佑康,邓俊辰,董希尧,N,N
14,国防科技大学,听党指挥,6,939,Gold,金奖,邱昊中,宋澎玉,张珂豪,N,N
15,浙江工业大学,汤姆熊猫,6,1026,Gold,金奖,郑卓男,侯潇扬,刘海丰,N,N
16,北京师范大学,古手羽入,6,1027,Gold,金奖,吴剑荣,吴松原,李鼎懋,N,N
17,中山大学,中山大学_职业鸽手,5,326,Gold,金奖,王程钥,谢立辉,徐达烽,N,N
18,南京大学,No Response,5,445,Gold,金奖,宋子辰,张天陵,王予曦,N,N
19,苏州大学,键盘冒奶,5,450,Gold,金奖,王浩,诸葛子英,李天镜,N,N
20,浙江理工大学,思睿男孩,5,501,Gold,金奖,刘智慧,陈可行,杨子俊,N,N
21,山东大学,唯我心,5,523,Gold,金奖,马旭阳,黄敏聪,魏秀颖,N,N
22,北京邮电大学,假面骑士,5,535,Gold,金奖,黄岳嘉,杨铁智,郑铎,N,N
23,北京师范大学,白银体验,5,540,Gold,金奖,高健扬,卢炜文,高艺炜,N,N
24,浙江师范大学,???,5,546,Gold,金奖,周鹗荐,周天辰,段忠杰,N,N
25,东北大学,则式长号,5,547,Silver,银奖,武嘉鑫,陈久健,邱而沐,N,N
26,北京交通大学,大脑喷射,5,567,Silver,银奖,金睿琦,胡雨轩,蔡伟斌,N,N
27,电子科技大学,UESTC_POP,5,578,Silver,银奖,彭俊强,欧阳韬,潘训涛,N,N
28,中山大学,中山大学_瓢,5,587,Silver,银奖,赵俊威,刘宇轩,梁济凡,N,N
29,上海交通大学,星尘,5,596,Silver,银奖,石昕怡,林春茹,徐若凡,N,N
30,四川大学,空白,5,630,Silver,银奖,游宇杰,张雷,伍斯思,N,N
31,杭州电子科技大学,杭电二队,5,643,Silver,银奖,王淳洋,徐景滨,张时嘉,N,N
32,清华大学,铲伙食小分队,5,646,Silver,银奖,罗崚骁,徐奥淳,宋香君,N,N
33,东南大学,我一个名字也想不出来了,5,668,Silver,银奖,李超磊,闻深博,孙毅远,N,N
34,广东工业大学,最大瘤,5,670,Silver,银奖,郑重,陈震东,康泽楠,N,N
35,南京大学,我是火车王,5,705,Silver,银奖,柴致远,朱景舟,丁保荣,N,N
36,中国地质大学（武汉）,胜天半子,5,751,Silver,银奖,尹港,汪圣翔,周伟国,N,N
37,东北大学,赏金猎人,5,758,Silver,银奖,袁乾宸,杨博,王惟,N,N
38,深圳大学,爆零,5,771,Silver,银奖,何嘉键,陈培豪,廖竞,N,N
39,山东科技大学,发现号,5,780,Silver,银奖,梁天心,邱鹏,上官祥正,N,N
40,哈尔滨工业大学,三个演员,5,809,Silver,银奖,于新蕊,曹舒淇,林琦慧,N,N
41,北京理工大学,社会佩奇,5,845,Silver,银奖,何金岷,马泽航,周琪森,N,N
42,成都信息工程大学,一个顶俩,5,852,Silver,银奖,林湖龙,彭莉萍,谭秋月,N,N
43,湘潭大学,木瓜同学,5,858,Silver,银奖,雷智凯,袁泽,贺强,N,N
44,南京信息工程大学,咕咕咕,5,866,Silver,银奖,施博文,沈逸凡,陈靖宇,N,N
45,哈尔滨工业大学(深圳),吃啥都不加香菜,5,880,Silver,银奖,彭博濠,亚梦溪,毛志东,N,N
46,福州大学,塔斯丁苟,5,883,Silver,银奖,陈华能,罗继鸿,郑学贵,N,N
47,华南理工大学计算机学院,SCUT_星辰闪耀,5,932,Silver,银奖,潘伟健,王一帆,郑炜城,N,N
48,华南理工大学软件学院,小南瓜,5,963,Silver,银奖,孙宇鹏,王络,章子寅,N,N
49,浙江工商大学,肥宅真的好快乐,5,979,Silver,银奖,缪佩翰,沈彤,王龙,N,N
50,同济大学,荠鸽,5,1077,Silver,银奖,叶茂尧,李昊龙,黄颖,N,N
51,安阳工学院,newgate txdy,5,1191,Silver,银奖,韩韦凡,张丁韦,马鹏源,N,N
52,华中科技大学,对未知用战斗演算,4,201,Silver,银奖,王际豪,程思哲,师天硕,N,N
53,广州大学,我钟意食烧鸡翼,4,245,Silver,银奖,卢浩宇,余梓宁,陈浩珲,N,N
54,郑州大学,队友倒写强联通,4,263,Silver,银奖,陈洋,黄中源,苏同,N,N
55,浙江农林大学,白昼之光,4,293,Silver,银奖,黄磊,顾博盛,章朝哲,N,N
56,天津大学,背着队友偷偷WA,4,333,Silver,银奖,范一隆,施浩森,王艺达,N,N
57,华东理工大学,亮剑,4,334,Silver,银奖,付成瑜,傅志凌,彭博,N,N
58,山东理工大学,QYQ的大冒险,4,341,Silver,银奖,亓玉宁,亓世恒,杨丰磊,N,N
59,山东理工大学,或许有一度春风不负微草枯荣,4,342,Silver,银奖,贾辉,李绪伟,郑延亮,N,N
60,上海大学,魔菜队,4,349,Silver,银奖,罗哲焱,林世铨,董昱,N,N
61,广东外语外贸大学,纸上牧羊,4,362,Silver,银奖,林冠权,邝江洲,曾迪鸿,N,N
62,中南大学,线性加速器,4,364,Silver,银奖,姜业鑫,黄文豪,连士熙,N,Y
63,浙江理工大学,我先放一盒卫生纸在这,4,384,Silver,银奖,胡成一,金奇,何光赋,N,N
64,暨南大学,看看你们花里胡哨的队名,4,388,Silver,银奖,彭勇,史磊,曾晓灿,N,N
65,江南大学,江南壹队,4,390,Silver,银奖,陈朝潮,许轲,卢涵,N,N
66,长沙理工大学,no submit no wa,4,396,Silver,银奖,李行,李良伟,晏政,N,N
