School,3_CCPC_哈尔滨,42_ICPC_沈阳,3_CCPC_秦皇岛,42_ICPC_西安,3_CCPC_杭州,42_ICPC_青岛,42_ICPC_北京,42_ICPC_南宁,3_CCPC_总决赛,42_ICPC_乌鲁木齐,42_ICPC_ECFinal,4_CCPC_吉林,4_CCPC_秦皇岛,43_ICPC_南京,43_ICPC_沈阳,4_CCPC_桂林,43_ICPC_徐州,43_ICPC_青岛,43_ICPC_北京,4_CCPC_总决赛,43_ICPC_焦作,43_ICPC_ECFinal,5_CCPC_秦皇岛,5_CCPC_哈尔滨,5_CCPC_厦门,44_ICPC_银川,44_ICPC_南京,44_ICPC_徐州,44_ICPC_南昌,5_CCPC_总决赛,44_ICPC_沈阳,44_ICPC_上海,44_ICPC_香港,44_ICPC_ECFinal,6_CCPC_秦皇岛,6_CCPC_威海,6_CCPC_绵阳,6_CCPC_长春,45_ICPC_上海,45_ICPC_南京,45_ICPC_济南,45_ICPC_昆明,45_ICPC_ECFinal,45_ICPC_银川,45_ICPC_澳门,6_CCPC_总决赛,45_ICPC_沈阳,7_CCPC_桂林,7_CCPC_广州,46_ICPC_济南,7_CCPC_威海,46_ICPC_沈阳,7_CCPC_哈尔滨,46_ICPC_上海,46_ICPC_南京,46_ICPC_澳门,46_ICPC_昆明,46_ICPC_ECFinal,7_CCPC_总决赛,8_CCPC_桂林,8_CCPC_威海,47_ICPC_沈阳,8_CCPC_广州,47_ICPC_西安,8_CCPC_绵阳,47_ICPC_合肥,47_ICPC_济南,47_ICPC_杭州,47_ICPC_南京,47_ICPC_香港,47_ICPC_ECFinal,8_CCPC_总决赛,9_CCPC_秦皇岛,48_ICPC_西安,9_CCPC_桂林,9_CCPC_哈尔滨,48_ICPC_南京,9_CCPC_深圳,48_ICPC_沈阳,48_ICPC_澳门,48_ICPC_合肥,48_ICPC_济南,48_ICPC_杭州,48_ICPC_ECFinal,9_CCPC_总决赛,10_CCPC_哈尔滨,10_CCPC_济南,49_ICPC_成都,49_ICPC_南京,10_CCPC_重庆,49_ICPC_杭州,10_CCPC_郑州,49_ICPC_上海,49_ICPC_沈阳,49_ICPC_昆明,49_ICPC_香港,49_ICPC_ECFinal,10_CCPC_总决赛,50_ICPC_西安,50_ICPC_成都,11_CCPC_哈尔滨,50_ICPC_南京,11_CCPC_济南,50_ICPC_沈阳,11_CCPC_郑州,50_ICPC_上海,11_CCPC_重庆,50_ICPC_香港
unknown,1400.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1262.0,1262.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0
三峡大学,1400.0,1400.0,1400.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,1352.0,1352.0,1352.0,1352.0,1352.0,1352.0,1352.0,1352.0,1352.0,1352.0,1352.0,1321.0,1340.0,1340.0,1340.0,1256.0,1256.0,1256.0,1256.0,1256.0,1256.0,1224.0,1224.0,1224.0,1224.0,1244.0,1244.0,1244.0,1263.0,1263.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1294.0,1294.0,1294.0,1294.0,1294.0,1294.0,1294.0,1251.0,1251.0,1251.0,1251.0,1251.0,1265.0,1265.0,1265.0,1385.0,1349.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1324.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1421.0,1421.0,1421.0,1421.0,1421.0,1421.0,1421.0,1421.0,1374.0,1374.0
三明学院,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0
上海交通大学,1517.0,1632.0,1754.0,1820.0,1924.0,1986.0,2069.0,2069.0,2122.0,2122.0,2145.0,2145.0,2228.0,2201.0,2201.0,2295.0,2333.0,2295.0,2315.0,2309.0,2309.0,2276.0,2261.0,2312.0,2299.0,2299.0,2299.0,2420.0,2320.0,2221.0,2259.0,2448.0,2448.0,2435.0,2476.0,2622.0,2518.0,2518.0,2468.0,2444.0,2494.0,2383.0,2329.0,2400.0,2510.0,2410.0,2444.0,2430.0,2481.0,2341.0,2405.0,2447.0,2379.0,2379.0,2449.0,2670.0,2534.0,2512.0,2510.0,2510.0,2487.0,2498.0,2564.0,2636.0,2546.0,2623.0,2510.0,2554.0,2481.0,2742.0,2710.0,2726.0,2738.0,2750.0,2603.0,2492.0,2374.0,2376.0,2469.0,2385.0,2399.0,2376.0,2396.0,2465.0,2406.0,2485.0,2485.0,2412.0,2412.0,2420.0,2527.0,2379.0,2414.0,2450.0,2457.0,2430.0,2397.0,2564.0,2806.0,2900.0,2844.0,2695.0,2612.0,2581.0,2548.0,2609.0,2485.0,2562.0
上海商学院,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0
上海外国语大学,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0,1309.0
上海大学,1389.0,1405.0,1462.0,1528.0,1529.0,1492.0,1436.0,1433.0,1422.0,1448.0,1462.0,1427.0,1435.0,1483.0,1511.0,1526.0,1453.0,1514.0,1601.0,1577.0,1609.0,1595.0,1611.0,1637.0,1782.0,1805.0,1806.0,1950.0,1850.0,1828.0,1851.0,1851.0,1851.0,1843.0,1847.0,1780.0,1755.0,1814.0,1814.0,1776.0,1918.0,1846.0,1987.0,1892.0,1892.0,1969.0,1950.0,1856.0,1873.0,1930.0,1841.0,1904.0,1967.0,1967.0,2008.0,2008.0,1903.0,1964.0,1943.0,1886.0,1916.0,1859.0,1782.0,1804.0,1758.0,1735.0,1678.0,1729.0,1836.0,1836.0,1881.0,1810.0,1771.0,1668.0,1668.0,1577.0,1585.0,1582.0,1524.0,1591.0,1717.0,1836.0,1767.0,1787.0,1787.0,1957.0,2034.0,1904.0,1910.0,1932.0,1996.0,1878.0,1878.0,1949.0,2026.0,2170.0,2216.0,2125.0,1966.0,1870.0,1845.0,1867.0,1858.0,1848.0,1901.0,1901.0,1865.0,1706.0
上海对外经贸大学,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1337.0,1337.0,1337.0,1337.0,1337.0,1337.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0,1283.0
上海工程技术大学,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0
上海师范大学,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1395.0,1395.0,1358.0,1358.0,1358.0,1358.0,1358.0,1416.0,1416.0,1416.0,1416.0,1416.0,1416.0,1416.0,1416.0,1416.0,1416.0,1416.0,1416.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1456.0,1456.0,1456.0,1506.0,1506.0,1506.0,1506.0,1506.0,1506.0,1506.0,1506.0,1506.0,1506.0,1506.0,1506.0,1506.0,1506.0,1481.0,1481.0,1481.0,1481.0,1524.0,1640.0,1570.0,1570.0,1446.0,1446.0,1382.0,1382.0,1279.0,1254.0,1254.0,1298.0,1317.0,1287.0,1287.0,1256.0,1256.0,1256.0
